Rank,Nation,Gold,Silver,Bronze,Total
1,East Germany,15.0,11.0,3.0,29.0
2,Soviet Union,13.0,11.0,8.0,32.0
3,Great Britain,3.0,2.0,3.0,8.0
4,West Germany,2.0,2.0,4.0,8.0
5,Hungary,2.0,0.0,1.0,3.0
6,Sweden,1.0,4.0,2.0,7.0
7,Yugoslavia,1.0,1.0,1.0,3.0
8,Netherlands,0.0,3.0,4.0,7.0
9,Poland,0.0,1.0,3.0,4.0
10,Austria,0.0,1.0,2.0,3.0
11,Italy,0.0,1.0,1.0,2.0
12,Spain,0.0,0.0,1.0,1.0
12,Czechoslovakia,0.0,0.0,1.0,1.0
12,France,0.0,0.0,1.0,1.0
12,Romania,0.0,0.0,1.0,1.0
12,Switzerland,0.0,0.0,1.0,1.0
Total,Total,37.0,37.0,37.0,111.0
