Year,Competition,Venue,Position,Event
2004.0,Paris Marathon,"Paris, France",1st,Marathon
2005.0,Prague International Marathon,"Prague , Czech Republic",1st,Marathon
2005.0,Virginia Beach Rock 'n' Roll Half Marathon,"Virginia Beach, VA , USA",2nd,Half marathon
2006.0,Lisbon Half Marathon,"Lisbon, Portugal",1st,Half marathon
2006.0,Singapore Marathon,Singapore,1st,Marathon
2007.0,Tokyo Marathon,"Tokyo, Japan",2nd,Marathon
2007.0,London Marathon,"London, United Kingdom",4th,Marathon
2008.0,Ras Al Khaimah Half Marathon,"Ras Al Khaimah , UAE",1st,Half marathon
2008.0,Lisbon Half Marathon,"Lisbon, Portugal",1st,Half marathon
2009.0,Boston Marathon,"Boston , USA",1st,Marathon
