Settlement,Cyrillic Name,Type,Population (2011),Largest ethnic group (2002),Dominant religion (2002)
Pećinci,Пећинци,village,2581.0,Serbs,Orthodox Christianity
Ašanja,Ашања,village,1365.0,Serbs,Orthodox Christianity
Brestač,Брестач,village,934.0,Serbs,Orthodox Christianity
Deč,Деч,village,1491.0,Serbs,Orthodox Christianity
Donji Tovarnik,Доњи Товарник,village,973.0,Serbs,Orthodox Christianity
Karlovčić,Карловчић,village,1078.0,Serbs,Orthodox Christianity
Kupinovo,Купиново,village,1866.0,Serbs,Orthodox Christianity
Obrež,Обреж,village,1308.0,Serbs,Orthodox Christianity
Ogar,Огар,village,1040.0,Serbs,Orthodox Christianity
Popinci,Попинци,village,1166.0,Serbs,Orthodox Christianity
Prhovo,Прхово,village,784.0,Serbs,Orthodox Christianity
Sibač,Сибач,village,468.0,Serbs,Orthodox Christianity
Sremski Mihaljevci,Сремски Михаљевци,village,769.0,Serbs,Orthodox Christianity
Subotište,Суботиште,village,844.0,Serbs,Orthodox Christianity
