County,Kerry %,Kerry #,Bush %,Bush #,Others %,Others #
Atlantic,52.5%,55746.0,46.6%,49487.0,0.9%,864.0
Bergen,51.9%,207666.0,47.4%,189833.0,0.7%,2745.0
Burlington,53.1%,110411.0,46.1%,95936.0,0.8%,1609.0
Camden,62.4%,137765.0,36.9%,81427.0,0.7%,1741.0
Cape May,42.3%,21475.0,56.8%,28832.0,0.9%,455.0
Cumberland,52.4%,27875.0,45.8%,24362.0,1.8%,948.0
Essex,70.4%,203681.0,28.8%,83374.0,0.8%,2293.0
Gloucester,52.2%,66835.0,46.9%,60033.0,0.9%,1096.0
Hudson,67.3%,127447.0,32.0%,60646.0,0.7%,1353.0
Hunterdon,39.1%,26050.0,59.8%,39888.0,1.1%,742.0
Mercer,61.3%,91580.0,37.9%,56604.0,0.8%,1326.0
Middlesex,56.3%,166628.0,42.8%,126492.0,0.9%,2685.0
Monmouth,44.6%,133773.0,54.6%,163650.0,0.8%,2516.0
Morris,41.7%,98066.0,57.5%,135241.0,0.8%,1847.0
Ocean,39.0%,99839.0,60.2%,154204.0,0.8%,2263.0
Passaic,55.4%,94962.0,43.9%,75200.0,0.7%,1149.0
Salem,46.2%,13749.0,52.8%,15721.0,1.0%,311.0
Somerset,47.4%,66476.0,51.7%,72508.0,0.9%,1295.0
Sussex,34.6%,23990.0,64.1%,44506.0,1.3%,900.0
Union,58.7%,119372.0,40.6%,82517.0,0.7%,1498.0
Warren,37.4%,18044.0,61.3%,29542.0,1.3%,622.0
