Week,Date,Opponent,Result,Venue,Attendance
1.0,"September 17, 1972",at Cleveland Browns,W 26-10,Cleveland Stadium,75771.0
2.0,"September 24, 1972",Oakland Raiders,L 20-14,Lambeau Field,56263.0
3.0,"October 1, 1972",Dallas Cowboys,W 16-13,Milwaukee County Stadium,47103.0
4.0,"October 8, 1972",Chicago Bears,W 20-17,Lambeau Field,56263.0
5.0,"October 16, 1972",at Detroit Lions,W 24-23,Tiger Stadium,54418.0
6.0,"October 22, 1972",Atlanta Falcons,L 10-9,Milwaukee County Stadium,47967.0
7.0,"October 29, 1972",Minnesota Vikings,L 27-13,Lambeau Field,56263.0
8.0,"November 5, 1972",San Francisco 49ers,W 34-24,Milwaukee County Stadium,47897.0
9.0,"November 12, 1972",at Chicago Bears,W 23-17,Soldier Field,55701.0
10.0,"November 19, 1972",at Houston Oilers,W 23-10,Astrodome,41752.0
11.0,"November 26, 1972",at Washington Redskins,L 21-16,RFK Stadium,53039.0
12.0,"December 3, 1972",Detroit Lions,W 33-7,Lambeau Field,56263.0
13.0,"December 10, 1972",at Minnesota Vikings,W 23-7,Metropolitan Stadium,49784.0
14.0,"December 17, 1972",at New Orleans Saints,W 30-20,Tulane Stadium,65881.0
