First game,Played,Drawn,Lost,Percentage
2000.0,7.0,0.0,0.0,100.00%
2008.0,2.0,1.0,0.0,66.66%
1998.0,1.0,0.0,1.0,0.00%
2003.0,2.0,0.0,0.0,100.00%
1997.0,4.0,0.0,4.0,0.00%
2012.0,1.0,0.0,0.0,100.00%
1982.0,12.0,0.0,11.0,8.33%
1992.0,17.0,0.0,1.0,94.12%
1987.0,2.0,0.0,2.0,0.00%
1998.0,3.0,0.0,3.0,0.00%
1988.0,8.0,0.0,6.0,25.00%
2002.0,2.0,0.0,1.0,50.00%
1999.0,2.0,0.0,2.0,0.00%
1990.0,1.0,0.0,1.0,0.00%
2004.0,2.0,0.0,0.0,100.00%
1998.0,4.0,0.0,1.0,75.00%
2013.0,1.0,0.0,1.0,0.00%
1995.0,6.0,0.0,5.0,16.67%
2006.0,2.0,0.0,2.0,0.00%
1995.0,5.0,0.0,5.0,0.00%
1984.0,17.0,0.0,3.0,82.35%
1990.0,2.0,0.0,0.0,100.00%
1990.0,3.0,0.0,3.0,0.00%
2001.0,5.0,0.0,2.0,60.00%
1982.0,110.0,0.0,54.0,50.91%
