Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. FAS,18.0,6.0,2.0,27.0,13.0,36.0
2.0,C.D. Águila,18.0,4.0,5.0,38.0,26.0,31.0
3.0,C.D. Luis Ángel Firpo,18.0,7.0,4.0,25.0,18.0,28.0
4.0,San Salvador F.C.,18.0,4.0,6.0,31.0,27.0,28.0
5.0,Alianza F.C.,18.0,4.0,6.0,26.0,24.0,28.0
6.0,A.D. Isidro Metapán,18.0,9.0,5.0,20.0,23.0,21.0
7.0,Municipal Limeño,18.0,5.0,8.0,27.0,29.0,20.0
8.0,C.D. Arcense,18.0,11.0,5.0,23.0,32.0,17.0
9.0,Chalatenango,18.0,5.0,9.0,13.0,22.0,17.0
10.0,C.D. Atlético Balboa,18.0,3.0,11.0,15.0,31.0,15.0
