Year,Location,Entries,Winning Boat,Country,Skipper
2013.0,"Marseille , France",117.0,New territoriess,POR,Hugo Rocha
2012.0,"Dartmouth , UK",76.0,Nilfisk,ESP,José van der Ploeg
2011.0,"Copenhagen , Denmark",67.0,Nextel Engineering,ESP,Ignacio Camino
2010.0,"Newport , USA",61.0,ECC Viviendas,ESP,Jose Maria Torcida
2009.0,"Santander , Spain",134.0,Princesa Yaiza,ESP,Rayco Tabares
2008.0,"Kiel , Baltic Sea",64.0,Nextel Engineering,ESP,Ignacio Camino
2007.0,"La Trinité sur Mer , France",125.0,ECC Viviendas,ESP,Jose Maria Torcida
2006.0,"Corpus Christi, TX , USA",34.0,L'Glide,USA,Glenn Darden
2005.0,"Falmouth , UK",52.0,Volvo,GBR,Ruairidh Scott
2004.0,"Royal Swedish Yacht Club, Stockholm",56.0,Out of Space,SWE,Peder Arvefors
2003.0,"Ft. Worth , Texas , USA",49.0,Synergy,USA,Jay Lutz
