University,Location,Established,Endowment as of 2008,Campus Area (acres),Kiplingers Top 100 Values,Enrollment as of 2008
Florida A&M University,"Tallahassee, Florida",1887.0,$119 million,419.0,N/A,11567.0
Florida Atlantic University,"Boca Raton, Florida",1961.0,$182 million,850.0,N/A,26525.0
Florida Gulf Coast University,"Fort Myers, Florida",1991.0,$39 million,760.0,N/A,9387.0
Florida International University,"Miami, Florida",1965.0,$97 million,573.0,N/A,38614.0
Florida State University,"Tallahassee, Florida",1851.0,$570 million,1200.0,17th overall in the United States,41002.0
New College of Florida,"Sarasota, Florida",1960.0,$33 million,144.0,8th overall in the United States,769.0
University of Central Florida,"Orlando, Florida",1963.0,$114 million,1415.0,42nd overall in the United States,48699.0
University of Florida,"Gainesville, Florida",1853.0,$1.3 billion,2000.0,2nd overall in the United States,52084.0
University of North Florida,"Jacksonville, Florida",1969.0,$95 million,1300.0,N/A,16570.0
University of South Florida,"Tampa, Florida",1956.0,$360 million,1913.0,75th overall in the United States,45524.0
