Actor/Actress,Character,First Appearance,Last Appearance,Duration,Total
Mathew Horne,Gavin 'Gav' Shipman,13 May 2007,1 January 2010,2007–2010,20.0
Joanna Page,Stacey 'Stace' Shipman née West,13 May 2007,1 January 2010,2007–2010,20.0
James Corden,Neil 'Smithy' Smith,13 May 2007,1 January 2010,2007–2010,20.0
Ruth Jones,Vanessa 'Nessa' Jenkins,13 May 2007,1 January 2010,2007–2010,20.0
Rob Brydon,Brynfor 'Bryn' West,13 May 2007,1 January 2010,2007–2010,20.0
Larry Lamb,Michael 'Mick' Shipman,13 May 2007,1 January 2010,2007–2010,20.0
Alison Steadman,Pamela 'Pam' Shipman,13 May 2007,1 January 2010,2007–2010,20.0
Melanie Walters,Gwen West,13 May 2007,1 January 2010,2007–2010,20.0
Steffan Rhodri,David Coaches,13 May 2007,1 January 2010,"2007, 2008–2010",11.0
Sheridan Smith,Ruth 'Rudi' Smith,16 March 2008,1 January 2010,2008–2010,7.0
Margaret John,Doris,13 May 2007,1 January 2010,"2007, 2008, 2009, 2010",8.0
Adrian Scarborough,Pete Sutcliffe,13 May 2007,17 December 2009,2007–2009,7.0
Julia Davis,Dawn Sutcliffe,13 May 2007,17 December 2009,2007–2009,7.0
Robert Wilfort,Jason West,3 June 2007,1 January 2010,"2007, 2008, 2009–2010",6.0
Huw Dafydd,Neil Jenkins,26 November 2009,1 January 2010,2009–2010,3.0
Pam Ferris,Cath Smith,26 November 2009,17 December 2009,2009,2.0
Steven Meo,Owain Hughes,26 November 2009,10 December 2009,2009,3.0
