No.,#,Original airdate,Performer 1,Performer 2,Performer 3,Performer 4
199.0,1.0,"October3,2005",Wayne Brady,Denny Siegel,Colin Mochrie,Ryan Stiles
200.0,2.0,"October10,2005",Wayne Brady,Chip Esten,Colin Mochrie,Ryan Stiles
201.0,3.0,"October17,2005",Brad Sherwood,Patrick Bristow,Colin Mochrie,Ryan Stiles
202.0,4.0,"November7,2005",Greg Proops,Wayne Brady,Colin Mochrie,Ryan Stiles
203.0,5.0,"November21,2005",Wayne Brady,Kathy Greenwood,Colin Mochrie,Ryan Stiles
204.0,6.0,"December12,2005",Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
205.0,7.0,"March20,2006",Wayne Brady,Denny Siegel,Colin Mochrie,Ryan Stiles
206.0,8.0,"March21,2006",Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
207.0,9.0,"March22,2006",Wayne Brady,Stephen Colbert,Colin Mochrie,Ryan Stiles
208.0,10.0,"March23,2006",Greg Proops,Wayne Brady,Colin Mochrie,Ryan Stiles
209.0,11.0,"March24,2006",Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
210.0,12.0,"November6,2006",Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
211.0,13.0,"November7,2006",Wayne Brady,Denny Siegel,Colin Mochrie,Ryan Stiles
212.0,14.0,"November8,2006",Brad Sherwood,Ian Gomez,Colin Mochrie,Ryan Stiles
213.0,15.0,"November9,2006",Brad Sherwood,Patrick Bristow,Colin Mochrie,Ryan Stiles
214.0,16.0,"November10,2006",Greg Proops,Wayne Brady,Colin Mochrie,Ryan Stiles
215.0,17.0,"December4,2007",Wayne Brady,Kathy Greenwood,Colin Mochrie,Ryan Stiles
216.0,18.0,"December13,2007",Wayne Brady,Jeff Davis,Colin Mochrie,Ryan Stiles
217.0,19.0,"December14,2007",Greg Proops,Wayne Brady,Colin Mochrie,Ryan Stiles
218.0,20.0,"December15,2007",Brad Sherwood,Wayne Brady,Colin Mochrie,Ryan Stiles
