Quarterback,Jersey No.,Games Started,Wins,Losses,Ties,Winning Pct.
Everett Golson,5,11.0,10.0,1.0,0.0,.909
"Rees, Tommy","13 (2010) , 11 (2011-13)",27.0,21.0,6.0,0.0,.770
"Crist, Dayne",10,10.0,4.0,6.0,0.0,.400
"Clausen, Jimmy",7,34.0,16.0,18.0,0.0,.471
"Sharpley, Evan",13,2.0,0.0,2.0,0.0,.000
"Jones, Demetrius",3,1.0,0.0,1.0,0.0,.000
"Quinn, Brady",10,46.0,29.0,17.0,0.0,.630
"Holiday, Carlyle",7,24.0,15.0,9.0,0.0,.625
"Dillingham, Pat",9,1.0,1.0,0.0,0.0,1.000
"LoVecchio, Matt",10,10.0,7.0,3.0,0.0,.700
"Godsey, Gary",14,2.0,1.0,1.0,0.0,.500
"Battle, Arnaz",3,2.0,1.0,1.0,0.0,.500
"Jackson, Jarious",7,23.0,14.0,9.0,0.0,.609
"Chappell, Eric",8,1.0,0.0,1.0,0.0,.000
"Powlus, Ron",3,46.0,29.0,16.0,1.0,.641
"Krug, Tom",11,2.0,1.0,1.0,0.0,.500
"Failla, Paul",5,2.0,2.0,0.0,0.0,1.000
"McDougal, Kevin",15,11.0,10.0,1.0,0.0,.909
"Mirer, Rick",3,36.0,28.0,7.0,1.0,.792
"Rice, Tony",9,31.0,28.0,3.0,0.0,.903
"Grooms, Scott",10,1.0,0.0,1.0,0.0,.000
"Andrysiak, Terry",2,7.0,4.0,3.0,0.0,.571
"Beuerlein, Steve",7,39.0,21.0,18.0,0.0,.538
Blair Kiel,5,29.0,18.0,9.0,2.0,.638
"O'Hara, Jim",6,1.0,0.0,1.0,0.0,.000
"Karcher, Ken",12,1.0,0.0,1.0,0.0,.000
"Koegel, Tim",14,5.0,1.0,4.0,0.0,.200
"Courey, Mike",2,4.0,4.0,0.0,0.0,1.000
"Lisch, Rusty",6,13.0,8.0,5.0,0.0,.615
"Montana, Joe",3,25.0,20.0,5.0,0.0,.800
"Slager, Rick",11,18.0,15.0,3.0,0.0,.833
"Clements, Tom",2,34.0,29.0,5.0,0.0,.853
