Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. Águila,18.0,5.0,4.0,24.0,19.0,32.0
2.0,C.D. FAS,18.0,8.0,4.0,26.0,17.0,26.0
3.0,C.D. Vista Hermosa,18.0,2.0,8.0,27.0,22.0,26.0
4.0,A.D. Isidro Metapán,18.0,5.0,6.0,21.0,22.0,26.0
5.0,Alianza F.C.,18.0,4.0,7.0,29.0,26.0,25.0
6.0,C.D. Atlético Balboa,18.0,5.0,7.0,26.0,25.0,23.0
7.0,San Salvador F.C.,18.0,5.0,7.0,28.0,32.0,23.0
8.0,C.D. Chalatenango,18.0,7.0,6.0,19.0,26.0,22.0
9.0,Once Municipal,18.0,6.0,7.0,24.0,30.0,21.0
10.0,C.D. Luis Ángel Firpo,18.0,5.0,8.0,18.0,23.0,20.0
