Year,Venue,Winner,Country,Score,Runner-up
2013.0,Jimmie Austin OU Golf Club,Lauren Diaz-Yi,United States,10 & 9,Doris Chen
2012.0,Neshanic Valley Golf Course,Kyung Kim,United States,4 & 2,Ashlan Ramsey
2011.0,Bandon Dunes Golf Resort,Brianna Do,United States Vietnam,1 up,Marissa Dodd
2010.0,Notre Dame's Warren Golf Course,Emily Tubert,United States,3 & 2,Lisa McCloskey
2009.0,Red Tail Golf Club,Jennifer Song,United States South Korea,7 & 6,Kimberly Kim
2008.0,Erin Hills,Tiffany Joh,United States,2 & 1,Jennifer Song
2007.0,Kearney Hill Golf Links,Mina Harigae,United States,4 & 3,Stephany Fleet
2006.0,Walking Stick G.C.,Tiffany Joh,United States,6 & 5,Kimberly Kim
2005.0,Swope Memorial G.C.,Eunjung Yi,South Korea,37 holes,Tiffany Chudy
2004.0,Golden Horseshoe G.C. (Green Course),Yani Tseng,Taiwan,1 up,Michelle Wie
2003.0,Ocean Hammock G.C.,Michelle Wie,United States,1 up,Virada Nirapathpongporn
2002.0,Sunriver Resort (Meadow Course),Annie Thurman,United States,6 & 5,Hwanhee Lee
2001.0,Kemper Lakes G.C.,Candie Kung,Taiwan,2 up,Missy Farr-Kaye
2000.0,Legacy Golf Links,Catherine Cartwright,United States,3 & 1,Russamee Gulyanamitta
1999.0,Santa Ana Golf Club,Jody Niemann,United States,1 up,Sue Billek Nyhus
1998.0,Kapalua (Hawaii) Golf Club (Bay Course),Amy Spooner,United States,2 & 1,Natalie Wong
1997.0,Center Square (Pa.) G.C.,Jo Jo Robertson,United States,3 & 2,Angie Yoon
1996.0,Spencer T. Olin Community G.C.,Heather Graff,United States,5 & 4;,Lauri Berles
1995.0,Hominy Hill G.C.,Jo Jo Robertson,United States,3 & 1,Elizabeth Drambour
1994.0,Tam O'Shanter G.C.,Jill McGill,United States,6 & 4,Heidi Voorhees
1993.0,Jackson Hole Golf & Tennis,Connie Masterson,United States,1 up,Holly Reynolds
1992.0,Haggin Oaks G.C.,Amy Fruhwirth,United States,3 & 1,Sara Evens
1991.0,Birdwood G.C.,Tracy Hanson,United States,1 up,Carri Wood
1990.0,Hyland Hills G.C.,Cathy Mockett,United States,5 & 4,Barbara Blanchar
1989.0,Indian Canyon G.C.,Pearl Sinn,United States,2 & 1,Kelli Akers
1988.0,Page Belcher G.C.,Pearl Sinn,United States,2 & 1,Tami Jo Hemingsen
1987.0,Cog Hill G. & C.C. (No. 4 Course),Tracy Kerdyk,United States,4 & 3,Pearl Sinn
1986.0,Sentry World G.C.,Cindy Schreyer,United States,3 & 2,Vicki Goetze
1985.0,"Flanders Valley G.C., (Red and Blue nines)",Danielle Ammaccapane,United States,6 & 5,Kristie Kolacny
1984.0,Meadowbrook G.C.,Heather Farr,United States,3 & 2,Kristie Kolacny
1983.0,Ala Wai G.C.,Kelli Antolock,United States,2 & 1,Nancy Taylor
1982.0,Alvamar G.C.,Nancy Taylor,United States,2 & 1,Kerri Clark
1981.0,Emerald Valley G.C.,Mary Enright,United States,3 & 1,Lauri Merten
1980.0,Center Square G.C.,Lori Castillo,United States,2 & 1,Pam Miller
1979.0,Braemar G.C.,Lori Castillo,United States,2 up,Becky Pearson
1978.0,Myrtlewood G.C. (Palmetto Course),Kelly Fuiks,United States,5 & 4,Diana Schwab
1977.0,Yahara Hills G.C.,Kelly Fuiks,United States,1 up,Kathy Williams
