Week,Date,Opponent,Result,Attendance
1.0,"September 16, 1968",at St. Louis Cardinals,W 24-13,49757.0
2.0,"September 22, 1968",Pittsburgh Steelers,W 45-10,49647.0
3.0,"September 29, 1968",at Cleveland Browns,W 24-6,82514.0
4.0,"October 6, 1968",San Francisco 49ers,W 24-10,69520.0
5.0,"October 13, 1968",at Green Bay Packers,W 16-14,49646.0
6.0,"October 20, 1968",Atlanta Falcons,W 27-14,54443.0
7.0,"October 27, 1968",at Baltimore Colts,L 27-10,60238.0
8.0,"November 3, 1968",Detroit Lions,W 10-7,77982.0
9.0,"November 10, 1968",at Atlanta Falcons,W 17-10,53979.0
10.0,"November 17, 1968",at San Francisco 49ers,T 20-20,41815.0
11.0,"November 24, 1968",New York Giants,W 24-21,68534.0
12.0,"December 1, 1968",at Minnesota Vikings,W 31-3,47644.0
13.0,"December 8, 1968",Chicago Bears,L 17-16,66368.0
14.0,"December 15, 1968",Baltimore Colts,L 28-24,69397.0
