Outcome,Date,Tournament,Surface,Partner,Opponents,Score
Runner-up,1971.0,"Merion , U.S.",Hard,Chuck McKinley,Clark Graebner Jim Osborne,"6–7, 3–6"
Runner-up,1972.0,"Columbus , U.S.",Hard,Chuck McKinley,Jimmy Connors Pancho Gonzales,"3–6, 5–7"
Winner,1973.0,"Philadelphia WCT , U.S.",Carpet,Brian Gottfried,Roy Emerson Rod Laver,"4–6, 6–3, 6–4"
Winner,1973.0,"Las Vegas , U.S.",Hard,Brian Gottfried,Ken Rosewall Fred Stolle,"6–7, 6–4, 6–4"
Winner,1973.0,"Fort Worth , U.S.",Hard,Brian Gottfried,Owen Davidson John Newcombe,"7–6, 6–4"
Runner-up,1974.0,"Atlanta WCT , U.S.",Clay,Brian Gottfried,Robert Lutz Stan Smith,"3–6, 6–3, 6–7"
Runner-up,1974.0,"Orlando WCT , U.S.",Hard,Brian Gottfried,Owen Davidson John Newcombe,"6–7, 3–6"
Winner,1974.0,"Maui , U.S.",Hard,Roscoe Tanner,Owen Davidson John Newcombe,"6–3, 7–6"
Runner-up,1975.0,"Philadelphia WCT , U.S.",Carpet,Erik Van Dillen,Brian Gottfried Raúl Ramírez,"6–3, 3–6, 6–7"
Winner,1975.0,"Toronto Indoor WCT , Canada",Carpet,Erik Van Dillen,Anand Amritraj Vijay Amritraj,"6–4, 7–5, 6–1"
Winner,1975.0,"Memphis , U.S.",Carpet,Erik Van Dillen,Mark Cox Cliff Drysdale,"1–6, 7–5, 6–4"
Winner,1976.0,"San Francisco , U.S.",Carpet,Roscoe Tanner,Brian Gottfried Bob Hewitt,"6–3, 6–4"
Runner-up,1976.0,"Maui , U.S.",Hard,Roscoe Tanner,Raymond Moore Allan Stone,"7–6, 3–6, 4–6"
Winner,1976.0,"Perth , Australia",Hard,Roscoe Tanner,Bob Carmichael Ismail El Shafei,"6–7, 6–1, 6–2"
Winner,1977.0,"Adelaide , Australia",Grass,Cliff Letcher,Syd Ball Kim Warwick,"6–3, 4–6, 6–4"
Runner-up,1977.0,"St. Louis WCT , U.S.",Carpet,Vijay Amritraj,Ilie Năstase Adriano Panatta,"4–6, 6–3, 6–7"
Runner-up,1977.0,"Rotterdam , Netherlands",Carpet,Vijay Amritraj,Wojtek Fibak Tom Okker,"4–6, 4–6"
Winner,1977.0,"Masters Doubles WCT , New York",Carpet,Vijay Amritraj,Vitas Gerulaitis Adriano Panatta,"7–6, 7–6, 4–6, 6–3"
Winner,1977.0,"San Francisco , U.S.",Carpet,Marty Riessen,Fred McNair Sherwood Stewart,"6–4, 1–6, 6–4"
Runner-up,1978.0,"Birmingham WCT , U.S.",Carpet,Frew McMillan,Vitas Gerulaitis Sandy Mayer,"6–3, 1–6, 6–7"
Winner,1978.0,"New Orleans , U.S.",Carpet,Erik Van Dillen,Ismail El Shafei Brian Fairlie,"7–6, 6–3"
Winner,1978.0,"Cleveland , U.S.",Hard,Erik Van Dillen,Rick Fisher Bruce Manson,"6–1, 6–4"
Winner,1979.0,"Birmingham , U.S.",Carpet,Stan Smith,Ilie Năstase Tom Okker,"6–2, 6–3"
Runner-up,1979.0,"Memphis , U.S.",Carpet,Frew McMillan,Wojtek Fibak Tom Okker,"4–6, 4–6"
Winner,1980.0,"Tulsa , U.S.",Hard (i),Robert Lutz,Francisco González Van Winitsky,"2–6, 7–6, 6–2"
Runner-up,1980.0,"Bangkok , Thailand",Carpet,Tom Okker,Ferdi Taygan Brian Teacher,"6–7, 6–7"
Runner-up,1981.0,"Denver , U.S.",Carpet,Mel Purcell,Andrew Pattison Butch Walts,"3–6, 4–6"
Runner-up,1982.0,"La Quinta , U.S.",Hard,John Lloyd,Brian Gottfried Raúl Ramírez,"4–6, 6–3, 2–6"
Runner-up,1982.0,"Forest Hills WCT , U.S.",Clay,Erik Van Dillen,Tracy Delatte Johan Kriek,"4–6, 6–3, 3–6"
Winner,1982.0,"Hartford WCT , U.S.",Carpet,Robert Lutz,Mike Cahill Tracy Delatte,"7–6, 6–3"
Runner-up,1983.0,"South Orange , U.S.",Clay,John Lloyd,Fritz Buehning Tom Cain,"2–6, 5–7"
