Draft Year,Player,Position,Round,Overall,NFL Team
1950.0,Truett Smith,Fullback,7.0,86.0,Pittsburgh Steelers
1952.0,Dewey McConnell,Defensive Back,3.0,37.0,Los Angeles Rams
1957.0,Jim Crawford,Fullback,14.0,163.0,Pittsburgh Steelers
1959.0,Dale Memmelaar,Guard,21.0,242.0,Chicago Cardinals
1961.0,Jerry Hill,Running Back,3.0,35.0,Baltimore Colts
1961.0,Chuck Lamson,Defensive Back,4.0,43.0,Minnesota Vikings
1966.0,Jerry Marion,Wide Receiver,10.0,143.0,Pittsburgh Steelers
1967.0,Ron Billingsley,Defensive Tackle,1.0,14.0,San Diego Chargers
1968.0,Jerry DePoyster,Kicker,2.0,37.0,Detroit Lions
1968.0,Mike LaHood,Guard,2.0,51.0,Los Angeles Rams
1968.0,Jim Kiick,Running Back,5.0,118.0,Miami Dolphins
1968.0,Mike Dirks,Tackle,5.0,122.0,Philadelphia Eagles
1968.0,Paul Toscano,Defensive Back,7.0,187.0,Houston Oilers
1969.0,Gene Huey,Wide Receiver,5.0,123.0,St. Louis Cardinals
1969.0,David Hampton,Running Back,9.0,220.0,Green Bay Packers
1969.0,Dennis Devlin,Defensive Back,10.0,240.0,New England Patriots
1970.0,Vic Washington,Wide Receiver,4.0,87.0,San Francisco 49ers
1970.0,Larry Nels,Defensive Lineman,12.0,298.0,New York Giants
1970.0,Joe Williams,Back,12.0,309.0,Dallas Cowboys
1971.0,Tony McGee,Defensive End-Tackle,3.0,64.0,Chicago Bears
1972.0,Conrad Dobler,Guard,5.0,110.0,St. Louis Cardinals
1973.0,Nick Bebout,Tackle,6.0,142.0,Atlanta Falcons
1975.0,Mike McGraw,Linebacker,10.0,255.0,St. Louis Cardinals
1976.0,Lawrence Gaines,Running Back,1.0,16.0,Detroit Lions
1976.0,Aaron Kyle,Defensive Back,1.0,27.0,Dallas Cowboys
1978.0,Frank Chesley,Linebacker,6.0,157.0,New Orleans Saints
1979.0,Ken Fantetti,Linebacker,2.0,37.0,Detroit Lions
1980.0,Danny Pittman,Wide Receiver,4.0,90.0,New York Giants
1981.0,Guy Frazier,Linebacker,4.0,93.0,Cincinnati Bengals
1982.0,Jim Eliopulos,Linebacker,3.0,81.0,Dallas Cowboys
1984.0,Chris Kolodziejski,Tight End,2.0,52.0,Pittsburgh Steelers
1984.0,Jay Novacek,Tight End,6.0,158.0,St. Louis Cardinals
1989.0,Eric Coleman,Defensive Back,2.0,43.0,New England Patriots
1991.0,Mitch Donahue,Linebacker,4.0,95.0,San Francisco 49ers
1992.0,Doug Rigby,Defensive End,11.0,298.0,Kansas City Chiefs
1994.0,Ryan Yarborough,Wide Receiver,2.0,41.0,New York Jets
1995.0,Ryan Christopherson,Running Back,5.0,169.0,Jacksonville Jaguars
1995.0,John Burrough,Defensive End,7.0,245.0,Atlanta Falcons
1997.0,Steve Scifres,Guard,3.0,83.0,Dallas Cowboys
1997.0,Lee Vaughn,Defensive Back,6.0,187.0,Dallas Cowboys
1997.0,Marcus Harris,Wide Receiver,7.0,232.0,Detroit Lions
2001.0,Patrick Chukwurah,Linebacker,5.0,157.0,Minnesota Vikings
2004.0,Casey Bramlet,Quarterback,7.0,218.0,Cincinnati Bengals
2006.0,Derrick Martin,Defensive Back,6.0,208.0,Baltimore Ravens
2007.0,John Wendling,Defensive Back,6.0,184.0,Buffalo Bills
