Round,Grand Prix,Pole Position,Fastest Lap,Winning Driver,Winning Constructor,Report
1.0,Brazilian Grand Prix,Ayrton Senna,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
2.0,Pacific Grand Prix,Ayrton Senna,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
3.0,San Marino Grand Prix,Ayrton Senna,Damon Hill,Michael Schumacher,Benetton - Ford,Report
4.0,Monaco Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
5.0,Spanish Grand Prix,Michael Schumacher,Michael Schumacher,Damon Hill,Williams - Renault,Report
6.0,Canadian Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
7.0,French Grand Prix,Damon Hill,Damon Hill,Michael Schumacher,Benetton - Ford,Report
8.0,British Grand Prix,Damon Hill,Damon Hill,Damon Hill,Williams - Renault,Report
9.0,German Grand Prix,Gerhard Berger,David Coulthard,Gerhard Berger,Ferrari,Report
10.0,Hungarian Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
11.0,Belgian Grand Prix,Rubens Barrichello,Damon Hill,Damon Hill,Williams - Renault,Report
12.0,Italian Grand Prix,Jean Alesi,Damon Hill,Damon Hill,Williams - Renault,Report
13.0,Portuguese Grand Prix,Gerhard Berger,David Coulthard,Damon Hill,Williams - Renault,Report
14.0,European Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Benetton - Ford,Report
15.0,Japanese Grand Prix,Michael Schumacher,Damon Hill,Damon Hill,Williams - Renault,Report
