Season,Games,Won,Lost,Tied,Points,Goals for,Goals against,Standing
1969–70,72.0,43.0,15.0,14.0,100.0,327.0,195.0,"1st, East"
1970–71,72.0,27.0,31.0,14.0,68.0,215.0,239.0,"2nd, East"
1971–72,76.0,41.0,21.0,14.0,96.0,274.0,202.0,"2nd, East"
1972–73,76.0,43.0,18.0,15.0,101.0,316.0,191.0,"1st, East"
1973–74,76.0,37.0,27.0,12.0,86.0,263.0,223.0,"3rd, North"
1974–75,75.0,40.0,26.0,9.0,89.0,270.0,227.0,"3rd, North"
1975–76,76.0,48.0,20.0,8.0,104.0,326.0,209.0,"1st, North"
1976–77,80.0,52.0,22.0,6.0,110.0,308.0,225.0,"1st, AHL"
1977–78,81.0,37.0,28.0,16.0,90.0,304.0,250.0,"2nd, North"
1978–79,80.0,39.0,37.0,4.0,82.0,313.0,302.0,"3rd, North"
1979–80,79.0,43.0,29.0,7.0,93.0,331.0,271.0,"2nd, North"
1980–81,80.0,38.0,37.0,5.0,81.0,335.0,298.0,"3rd, North"
1981–82,80.0,35.0,35.0,10.0,80.0,330.0,313.0,"3rd, North"
1982–83,80.0,41.0,34.0,5.0,87.0,378.0,333.0,"2nd, North"
