Player,Position,Tries,Goals,Points
Robbie Paul,Fullback,6.0,1.0,26.0
Tevita Vaikona,Wing,5.0,0.0,20.0
Leon Pryce,Centre,8.0,0.0,32.0
Shontayne Hape,Centre,24.0,0.0,96.0
Lesley Vainikolo,Wing,39.0,0.0,156.0
Michael Withers,Fullback,7.0,10.0,50.0
Paul Deacon,Scrum Half,8.0,124.0,282.0
Joe Vagana,Prop,1.0,0.0,4.0
Paul Anderson,Prop,1.0,0.0,4.0
Lee Radford,Second Row,3.0,0.0,12.0
Jamie Peacock,Second Row,4.0,0.0,16.0
Logan Swann,Loose Forward,7.0,0.0,28.0
Toa Kohe-Love,Centre,0.0,0.0,0.0
Karl Pratt,Stand Off,5.0,0.0,20.0
Paul Johnson,Centre,8.0,0.0,32.0
Stuart Reardon,Fullback,15.0,0.0,60.0
Iestyn Harris,Stand Off,6.0,3.0,30.0
Jamie Langley,Loose Forward,8.0,0.0,32.0
Matt Cook,Prop,0.0,0.0,0.0
Karl Pryce,Wing,0.0,0.0,0.0
Vinny Myler,Prop,0.0,0.0,0.0
Aaron Smith,Hooker,3.0,0.0,12.0
Brett Ferres,Second Row,0.0,0.0,0.0
Chris Bridge,Centre,4.0,6.0,28.0
Rob Parker,Prop,6.0,0.0,24.0
Nicky Saxton,Fullback,0.0,0.0,0.0
Stuart Fielden,Prop,3.0,0.0,12.0
Richard Moore,Wing,0.0,0.0,0.0
Richard Colley,Scrum Half,0.0,0.0,0.0
Andy Smith,Wing,2.0,0.0,8.0
