Week,Date,Opponent,Result,Attendance
1.0,"September 13, 1964",at Washington Redskins,W 27–13,47577.0
2.0,"September 20, 1964",St. Louis Cardinals,T 33–33,76954.0
3.0,"September 27, 1964",at Philadelphia Eagles,W 28–20,60671.0
4.0,"October 4, 1964",Dallas Cowboys,W 27–6,72062.0
5.0,"October 10, 1964",Pittsburgh Steelers,L 23–7,80530.0
6.0,"October 18, 1964",at Dallas Cowboys,W 20–16,37456.0
7.0,"October 25, 1964",New York Giants,W 42–20,81050.0
8.0,"November 1, 1964",at Pittsburgh Steelers,W 30–17,49568.0
9.0,"November 8, 1964",Washington Redskins,W 34–24,76385.0
10.0,"November 15, 1964",Detroit Lions,W 37–21,83064.0
11.0,"November 22, 1964",at Green Bay Packers,L 28–21,48065.0
12.0,"November 29, 1964",Philadelphia Eagles,W 38–24,79289.0
13.0,"December 6, 1964",at St. Louis Cardinals,L 28–19,31585.0
14.0,"December 12, 1964",at New York Giants,W 52–20,63007.0
