Rank,London Borough,Black African Population,Black Caribbean Population,Other Black Population,Total Black Population
1.0,Lambeth,35187.0,28886.0,14469.0,78542.0
2.0,Southwark,47413.0,17974.0,12124.0,77511.0
3.0,Lewisham,32025.0,30854.0,12063.0,74942.0
4.0,Croydon,28981.0,31320.0,12955.0,73256.0
5.0,Newham,37811.0,15050.0,7395.0,60256.0
6.0,Hackney,27976.0,19168.0,9714.0,56858.0
7.0,Brent,24391.0,23723.0,10518.0,58632.0
8.0,Enfield,28222.0,17334.0,8131.0,53687.0
9.0,Greenwich,35164.0,8051.0,5440.0,48655.0
10.0,Haringey,23037.0,18087.0,6706.0,47830.0
11.0,Waltham Forest,18815.0,18841.0,7135.0,44791.0
12.0,Barking and Dagenham,28685.0,5227.0,3228.0,37140.0
13.0,Ealing,17299.0,13192.0,6369.0,36860.0
14.0,Barnet,19392.0,4468.0,3571.0,27431.0
15.0,Islington,12622.0,7943.0,5729.0,26294.0
16.0,Redbridge,12357.0,9064.0,3424.0,24845.0
17.0,Hammersmith and Fulham,10552.0,7111.0,3842.0,21505.0
18.0,Merton,10442.0,8126.0,2243.0,20811.0
19.0,Hillingdon,11275.0,4615.0,4192.0,20082.0
