County,Precincts,Lunsford,% Lunsford,McConnell,% McConnell,Total
Adair,16.0,2198.0,30.88%,4920.0,69.12%,"7,118 (R)"
Allen,13.0,2331.0,31.85%,4987.0,68.15%,"7,318 (R)"
Anderson,14.0,4787.0,46.27%,5558.0,53.73%,"10,345 (R)"
Ballard,13.0,1893.0,46.68%,2162.0,53.32%,"4,055 (R)"
Barren,24.0,6735.0,41.15%,9630.0,58.85%,"16,365 (R)"
Bath,12.0,2747.0,61.36%,1730.0,38.64%,"4,477 (D)"
Bell,33.0,3494.0,38.83%,5505.0,61.17%,"8,999 (R)"
Boone,60.0,15224.0,30.75%,34285.0,69.25%,"49,509 (R)"
Bourbon,18.0,4325.0,52.26%,3951.0,47.74%,"8,276 (D)"
Boyd,47.0,11174.0,54.23%,9430.0,45.77%,"20,604 (D)"
Boyle,25.0,5854.0,46.90%,6627.0,53.10%,"12,481 (R)"
Bracken,8.0,1382.0,41.17%,1975.0,58.83%,"3,357 (R)"
Breathitt,21.0,3111.0,61.41%,1955.0,38.59%,"5,066 (D)"
Breckinridge,15.0,3736.0,44.02%,4752.0,55.98%,"8,488 (R)"
Bullitt,44.0,12501.0,41.85%,17368.0,58.15%,"29,869 (R)"
Butler,12.0,1771.0,33.59%,3501.0,66.41%,"5,272 (R)"
Caldwell,13.0,2821.0,46.30%,3272.0,53.70%,"6,093 (R)"
Calloway,30.0,6870.0,45.39%,8266.0,54.61%,"15,136 (R)"
Campbell,66.0,14789.0,37.55%,24591.0,62.45%,"39,380 (R)"
Carlisle,6.0,1220.0,46.51%,1403.0,53.49%,"2,623 (R)"
Carroll,11.0,2157.0,57.23%,1612.0,42.77%,"3,769 (D)"
Carter,23.0,5220.0,53.74%,4494.0,46.26%,"9,714 (D)"
Casey,15.0,1783.0,30.55%,4053.0,69.45%,"5,836 (R)"
Christian,44.0,9030.0,40.79%,13109.0,59.21%,"22,139 (R)"
Clark,26.0,7436.0,48.49%,7898.0,51.51%,"15,334 (R)"
Clay,20.0,2458.0,33.85%,4804.0,66.15%,"7,262 (R)"
Clinton,13.0,1029.0,25.42%,3019.0,74.58%,"4,048 (R)"
Crittenden,12.0,1615.0,41.59%,2268.0,58.41%,"3,883 (R)"
