Name,Years,Gender,Area,Authority,Decile,Roll
Glenavy School,1–8,Coed,Glenavy,State,9.0,74.0
Makikihi School,1–8,Coed,Makikihi,State,7.0,33.0
Morven School,1–6,Coed,Morven,State,5.0,30.0
St Andrew's School,1–8,Coed,St Andrews,State,5.0,100.0
St Patrick's School,1–8,Coed,Waimate,State integrated,3.0,35.0
Waihao Downs School,1–6,Coed,Waihao Downs,State,8.0,44.0
Waimate Centennial School,1–6,Coed,Waimate,State,3.0,146.0
Waimate High School,7–13,Coed,Waimate,State,4.0,310.0
Waimate Main School,1–6,Coed,Waimate,State,2.0,78.0
Waituna Creek School,1–8,Coed,Waituna,State,5.0,39.0
