Week,Date,Opponent,Result,Attendance
1.0,"September 4, 1988",Atlanta Falcons,W 31-17,31075.0
2.0,"September 11, 1988",at Los Angeles Rams,L 17-10,46262.0
3.0,"September 18, 1988",New Orleans Saints,L 22-14,32943.0
4.0,"September 25, 1988",New York Jets,L 17-10,29250.0
5.0,"October 2, 1988",at San Francisco 49ers,L 20-13,58285.0
6.0,"October 9, 1988",Chicago Bears,L 24-7,64526.0
7.0,"October 16, 1988",at New York Giants,L 30-10,74813.0
8.0,"October 23, 1988",at Kansas City Chiefs,W 7-6,66926.0
9.0,"October 30, 1988",New York Giants,L 13-10 OT,38354.0
10.0,"November 6, 1988",at Minnesota Vikings,L 44-17,55573.0
11.0,"November 13, 1988",Tampa Bay Buccaneers,L 23-20,25956.0
12.0,"November 20, 1988",at Green Bay Packers,W 19-9,44327.0
13.0,"November 24, 1988",Minnesota Vikings,L 23-0,46379.0
14.0,"December 4, 1988",Green Bay Packers,W 30-14,28124.0
15.0,"December 11, 1988",at Chicago Bears,L 13-12,55010.0
16.0,"December 18, 1988",at Tampa Bay Buccaneers,L 21-10,37778.0
