Club,City,Stadium,Capacity,2007–08 season
U.S. Alessandria Calcio 1912,Alessandria,Stadio Giuseppe Moccagatta,8182.0,1st in Serie D/A
Pol. Alghero,Alghero,Stadio Mariotti,5000.0,4th in Serie D/G
F.C. Canavese,San Giusto Canavese,Stadio Franco Cerutti,1200.0,6th in Serie C2/A
A.C. Carpenedolo,Carpenedolo,Stadio Mundial '82,2500.0,2nd in Serie C2/A
Calcio Como,Como,Stadio Giuseppe Sinigaglia,13602.0,1st Serie D/B
U.S. Itala San Marco,Gradisca d'Isonzo,Stadio Gino Colaussi,4000.0,1st Serie D/C
U.S. Ivrea Calcio,Ivrea,Stadio Gino Pistoni,3500.0,8th in Serie C2/A
A.C. Mezzocorona,Mezzocorona (playing in Trento ),Stadio Briamasco,4227.0,5th in Serie C2/A
A.C. Montichiari,Montichiari,Stadio Romeo Menti,2500.0,2nd in Serie D/D
Olbia Calcio,Olbia,Stadio Bruno Nespoli,8000.0,10th in Serie C2/A
A.C. Pavia,Pavia,Stadio Pietro Fortunati,6000.0,15th in Serie C2/A
A.S. Pizzighettone,Pizzighettone,Stadio Comunale,2500.0,18th in Serie C2/A
U.S. Pro Vercelli Calcio,Vercelli,Stadio Silvio Piola,6165.0,7th in Serie C2/A
A.C. Rodengo Saiano,Rodengo-Saiano,Stadio Comunale,2500.0,3rd in Serie C2/A
A.C. Sambonifacese,San Bonifacio,Stadio Renzo Tizian,1450.0,3rd in Serie D/C
F.C. Südtirol,Bolzano,Stadio Marco Druso,3000.0,12th in Serie C2/A
Valenzana Calcio,Valenza,Stadio Comunale,2200.0,17th in Serie C2/A
A.S. Varese 1910,Varese,Stadio Franco Ossola,10000.0,11th in Serie C2/A
