Rank,Movie,Year,Studio(s),Opening Weekend Net Gross
1.0,Chennai Express,2013.0,Red Chillies Entertainment,1004200000.0
2.0,Yeh Jawaani Hai Deewani,2013.0,Dharma Productions,630000000.0
3.0,Dabangg 2,2012.0,Arbaaz Khan Productions,620000000.0
4.0,Ek Tha Tiger,2012.0,Yash Raj Films,578500000.0
5.0,Ra.One,2011.0,Red Chillies Entertainment,529300000.0
6.0,Bodyguard,2011.0,Reliance Entertainment,526200000.0
7.0,Dabangg,2012.0,Arbaaz Khan Productions,488200000.0
8.0,Rowdy Rathore,2012.0,UTV Motion Pictures,475000000.0
9.0,Don 2,2011.0,Excel Entertainment,463300000.0
10.0,Agneepath,2012.0,Dharma Productions,456600000.0
