Contestant,Place,Age,Country,Federal state,City,Height,Measurements (in cm)
Alisar Ailabouni,1.0,20.0,Austria,Upper Austria,Schalchen,"178cm (5' 10"")",86-65-90
Hanna Bohnekamp,2.0,18.0,Germany,North Rhine Westphalia,Drevenack,"173cm (5' 8"")",84-63-90
Laura Weyel,3.0,23.0,Germany,North Rhine Westphalia,Düsseldorf,"175cm (5' 9"")",80-60-89
Neele Hehemann,4.0,21.0,Germany,Saxony,Dresden,"181cm (5' 11.5"")",84-61-88
Louisa Mazzurana,5.0,22.0,Germany,Lower Saxony,Hanover,"170cm (5' 7"")",83-60-89
Leyla Mert,6.0,19.0,Germany,Baden-Württemberg,Sindelfingen,"180cm (5' 11"")",86-71-91
Pauline Afaja,6.0,19.0,Germany,Baden-Württemberg,Friedrichshafen,"180cm (5' 11"")",80-63-84
Viktoria Lantratova,8.0,22.0,Germany,North Rhine Westphalia,Detmold,"178cm (5' 10"")",87-64-94
Jacqueline Kohl,9.0,18.0,Germany,Rheinland Pfalz,Lahnstein,"180cm (5' 11"")",83-66-87
Wioleta Psiuk,10.0,18.0,Germany,North Rhine Westphalia,Münster,"179cm (5' 10.5"")",88-64-93
Miriam Höller,11.0,23.0,Germany,North Rhine Westphalia,Schermbeck,"183cm (6' 0"")",85-63-84
Nadine Höcherl,12.0,18.0,Germany,Bavaria,Rettenbach-Ebersroith,"180cm (5' 11"")",85-65-84
Catherine Kropp,13.0,17.0,Germany,North Rhine Westphalia,Lüdinghausen,"180cm (5' 11"")",83-62-90
Luisa Krüger,14.0,18.0,Germany,North Rhine Westphalia,Lünen,"176cm (5' 9.5"")",88-69-94
Lara Emsen,15.0,16.0,Germany,Schleswig Holstein,Wedel,"180cm (5' 11"")",87-66-96
Petra Roschek,16.0,25.0,Austria,Vienna,Vienna,"179cm (5' 10.5"")",90-69-95
Lena Kaiser,16.0,17.0,Germany,North Rhine Westphalia,Datteln,"177cm (5' 9.5"")",89-64-89
