School,Titles,Shared Titles,Runners-Up,Total Finals,Last Title,Last Final
Methodist College Belfast,35.0,3.0,19.0,57.0,2012,2012.0
Royal Belfast Academical Institution,32.0,3.0,15.0,50.0,2008,2008.0
Coleraine Academical Institution,8.0,1.0,12.0,21.0,2000 †,2000.0
Belfast Royal Academy,4.0,2.0,10.0,16.0,1979,1994.0
Campbell College,3.0,1.0,4.0,8.0,2013,2013.0
Royal School Dungannon,3.0,0.0,10.0,13.0,1994,1994.0
"Regent House, Newtownards",3.0,0.0,5.0,8.0,1998,2008.0
Bangor Grammar School,3.0,0.0,4.0,7.0,1985,1986.0
Sullivan Upper School,2.0,0.0,0.0,2.0,2011,2011.0
Ballymena Academy,1.0,2.0,4.0,7.0,1970,2006.0
Rainey Endowed School,1.0,0.0,2.0,3.0,1977,1993.0
Ballyclare High School,1.0,0.0,0.0,1.0,1990,1990.0
Annadale Grammar School ‡,0.0,3.0,1.0,4.0,1967 †,1967.0
Wallace High School,0.0,1.0,3.0,4.0,2010 †,2013.0
Belfast Boys' Model School,0.0,0.0,1.0,1.0,N/A,1964.0
Belfast High School,0.0,0.0,1.0,1.0,N/A,1980.0
Foyle College,0.0,0.0,1.0,1.0,N/A,1939.0
Larne Grammar School,0.0,0.0,1.0,1.0,N/A,1955.0
