Week,Date,Opponent,Result,Attendance
1.0,"September 4, 1978",Baltimore Colts,W 38–0,64224.0
2.0,"September 10, 1978",at New York Giants,W 34–24,73265.0
3.0,"September 17, 1978",at Los Angeles Rams,L 27–14,65749.0
4.0,"September 24, 1978",St. Louis Cardinals,W 21–12,62760.0
5.0,"October 2, 1978",at Washington Redskins,L 9–5,55031.0
6.0,"October 8, 1978",New York Giants,W 24–3,63420.0
7.0,"October 15, 1978",at St. Louis Cardinals,W 24–21,48991.0
8.0,"October 22, 1978",Philadelphia Eagles,W 14–7,60525.0
9.0,"October 26, 1978",Minnesota Vikings,L 21–10,61848.0
10.0,"November 5, 1978",at Miami Dolphins,L 23–16,69414.0
11.0,"November 12, 1978",at Green Bay Packers,W 42–14,55256.0
12.0,"November 19, 1978",New Orleans Saints,W 27–7,57920.0
13.0,"November 23, 1978",Washington Redskins,W 37–10,64905.0
14.0,"December 3, 1978",New England Patriots,W 17–10,63263.0
15.0,"December 10, 1978",at Philadelphia Eagles,W 31–13,64667.0
16.0,"December 17, 1978",at New York Jets,W 30–7,52532.0
