Driver,Constructor,Laps,Time/Retired,Grid
Fernando Alonso,McLaren - Mercedes,78.0,1:40:29.329,1.0
Lewis Hamilton,McLaren - Mercedes,78.0,+4.095,2.0
Felipe Massa,Ferrari,78.0,+1:09.114,3.0
Giancarlo Fisichella,Renault,77.0,+1 Lap,4.0
Robert Kubica,BMW Sauber,77.0,+1 Lap,8.0
Nick Heidfeld,BMW Sauber,77.0,+1 Lap,7.0
Alexander Wurz,Williams - Toyota,77.0,+1 Lap,11.0
Kimi Räikkönen,Ferrari,77.0,+1 Lap,16.0
Scott Speed,Toro Rosso - Ferrari,77.0,+1 Lap,18.0
Rubens Barrichello,Honda,77.0,+1 Lap,9.0
Jenson Button,Honda,77.0,+1 Lap,10.0
Nico Rosberg,Williams - Toyota,77.0,+1 Lap,5.0
Heikki Kovalainen,Renault,76.0,Engine,15.0
David Coulthard,Red Bull - Renault,76.0,+2 Laps,13.0
Jarno Trulli,Toyota,76.0,+2 Laps,14.0
Ralf Schumacher,Toyota,76.0,+2 Laps,20.0
Takuma Sato,Super Aguri - Honda,76.0,+2 Laps,21.0
Anthony Davidson,Super Aguri - Honda,76.0,+2 Laps,17.0
Christijan Albers,Spyker - Ferrari,70.0,Driveshaft,22.0
Adrian Sutil,Spyker - Ferrari,53.0,Accident,19.0
Mark Webber,Red Bull - Renault,17.0,Gearbox,6.0
Vitantonio Liuzzi,Toro Rosso - Ferrari,2.0,Accident,12.0
