Draft,Round,Pick,Player,Nationality
1979.0,1.0,19.0,Jimmy Mann Category:Articles with hCards,Canada
1979.0,2.0,40.0,Dave Christian Category:Articles with hCards,United States
1979.0,3.0,61.0,Bill Whelton Category:Articles with hCards,United States
1979.0,4.0,82.0,Pat Daley Category:Articles with hCards,France
1979.0,5.0,103.0,Thomas Steen Category:Articles with hCards,Sweden
1979.0,6.0,124.0,Tim Watters Category:Articles with hCards,Canada
1980.0,1.0,2.0,Dave Babych Category:Articles with hCards,Canada
1980.0,2.0,23.0,Moe Mantha Category:Articles with hCards,Canada
1980.0,3.0,44.0,Murray Eaves Category:Articles with hCards,Canada
1980.0,4.0,65.0,Guy Fournier,Canada
1980.0,5.0,86.0,Glen Ostir,Canada
1980.0,6.0,107.0,Ron Loustel Category:Articles with hCards,Canada
1980.0,7.0,128.0,Brian Mullen Category:Articles with hCards,United States
1980.0,7.0,135.0,Michael Lauen Category:Articles with hCards,United States
1980.0,8.0,149.0,Sandy Beadle Category:Articles with hCards,Canada
1980.0,9.0,170.0,Ed Christian,United States
1980.0,10.0,191.0,Dave Chartier Category:Articles with hCards,Canada
1986.0,9.0,186.0,Mark Green Category:Articles with hCards,USA
1988.0,1.0,10.0,Teemu Selanne Category:Articles with hCards,Finland
1995.0,1.0,7.0,Shane Doan Category:Articles with hCards,Canada
