Administrative County,Area (statute acres) 1891,Population 1891,Area (statute acres) 1961,Population 1961,Headquarters
Bedfordshire,298494.0,160704.0,302940.0,380837.0,Bedford
Berkshire,455864.0,176109.0,454726.0,385017.0,Reading
Buckinghamshire,475694.0,185284.0,479405.0,488233.0,Aylesbury
Cambridgeshire,310306.0,121961.0,315166.0,190384.0,Cambridge
Cheshire,646627.0,536644.0,621884.0,475313.0,Chester
Cornwall,868208.0,322571.0,868260.0,342301.0,Truro
Cumberland,970161.0,266549.0,967054.0,223202.0,Carlisle
Derbyshire,654100.0,426768.0,635459.0,745212.0,"Derby until 1958, Matlock thereafter"
Devon,1661914.0,455353.0,1649434.0,539021.0,Exeter
Dorset,632272.0,194517.0,633745.0,313460.0,Dorchester
Durham,639436.0,721461.0,620278.0,951956.0,Durham
Essex,980839.0,579355.0,959755.0,1859916.0,Chelmsford
Gloucestershire,790833.0,384552.0,773295.0,494885.0,Gloucester
Hampshire,938098.0,386849.0,929951.0,762599.0,Winchester
Herefordshire,537363.0,115949.0,538924.0,130928.0,Hereford
Hertfordshire,406932.0,224550.0,404525.0,832901.0,Hertford
Huntingdonshire,233928.0,54969.0,233985.0,79924.0,Huntingdon
Isle of Ely,239259.0,63861.0,239951.0,89180.0,March
Isle of Wight,93342.0,78672.0,94142.0,95752.0,Newport
Kent,971849.0,785674.0,971125.0,1671436.0,Maidstone
Lancashire,1124450.0,1768278.0,1060804.0,2280359.0,Preston
Leicestershire,520400.0,200468.0,515404.0,409098.0,"Leicester until 1967, Glenfield thereafter"
Lincolnshire – Parts of Holland,255252.0,75522.0,267847.0,103327.0,Boston
Lincolnshire – Parts of Kesteven,471749.0,105910.0,462100.0,134842.0,Sleaford
Lincolnshire – Parts of Lindsey,961327.0,199095.0,961038.0,505427.0,Lincoln
London,75442.0,4232118.0,74903.0,3200484.0,"Spring Gardens until 1933, Lambeth thereafter"
Middlesex,149046.0,560012.0,148691.0,2234543.0,Westminster
Monmouthshire,342548.0,203347.0,339008.0,336566.0,Newport
Norfolk,1303967.0,317983.0,1302505.0,388005.0,Norwich
Northamptonshire,584759.0,203247.0,578947.0,292584.0,Northampton
Northumberland,1284385.0,319730.0,1276266.0,481474.0,Newcastle-upon-Tyne
Nottinghamshire,528817.0,231946.0,521647.0,591089.0,"Nottingham until 1959, West Bridgford thereafter"
Oxfordshire,480608.0,145149.0,470390.0,203161.0,Oxford
Rutland,97273.0,20659.0,97273.0,23504.0,Oakham
Shropshire,859516.0,236339.0,861800.0,297466.0,Shrewsbury
Soke of Peterborough,53471.0,35249.0,53465.0,74758.0,Peterborough
Somerset,1039106.0,386866.0,1026043.0,518145.0,Taunton
Staffordshire,731089.0,818290.0,685250.0,983758.0,Stafford
East Suffolk,549744.0,183478.0,547397.0,219759.0,Ipswich
West Suffolk,389870.0,120952.0,390915.0,128918.0,Bury St Edmunds
Surrey,452218.0,418856.0,449160.0,1478841.0,"Newington , moved to Kingston upon Thames in 1893"
East Sussex,525904.0,240264.0,494580.0,375349.0,Lewes
West Sussex,389870.0,120952.0,405351.0,411613.0,Chichester
Warwickshire,562797.0,307193.0,558684.0,612768.0,Warwick
Westmorland,500906.0,66098.0,504917.0,67180.0,Kendal
Wiltshire,880248.0,264997.0,860607.0,422985.0,Trowbridge
Worcestershire,473542.0,296661.0,514341.0,441069.0,Worcester
Yorkshire – East Riding,741827.0,141516.0,735963.0,224031.0,Beverley
Yorkshire – North Riding,1358101.0,284837.0,1376607.0,396707.0,Northallerton
Yorkshire – West Riding,1701386.0,1351570.0,1606921.0,1678010.0,Wakefield
