Rank,Gold,Silver,Bronze,Total
1,84.0,69.0,69.0,222.0
2,36.0,40.0,34.0,110.0
3,26.0,29.0,31.0,86.0
4,22.0,17.0,11.0,50.0
5,12.0,13.0,13.0,38.0
6,11.0,7.0,11.0,29.0
7,10.0,4.0,8.0,22.0
8,7.0,12.0,10.0,29.0
9,6.0,12.0,13.0,31.0
10,6.0,5.0,7.0,18.0
11,5.0,6.0,7.0,18.0
12,4.0,6.0,7.0,17.0
13,3.0,5.0,11.0,19.0
14,3.0,1.0,2.0,6.0
15,2.0,0.0,1.0,3.0
17,1.0,3.0,1.0,5.0
18,1.0,1.0,0.0,2.0
19,1.0,0.0,1.0,2.0
22,1.0,0.0,0.0,1.0
23,0.0,3.0,0.0,3.0
24,0.0,2.0,0.0,2.0
26,0.0,1.0,2.0,3.0
27,0.0,1.0,1.0,2.0
30,0.0,1.0,0.0,1.0
33,0.0,0.0,3.0,3.0
34,0.0,0.0,2.0,2.0
35,0.0,0.0,1.0,1.0
Total,245.0,244.0,254.0,743.0
