Position,Team,Played,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points 1
1.0,Clitheroe,34.0,13.0,2.0,70.0,33.0,+37,51
2.0,Irlam Town,34.0,9.0,4.0,60.0,24.0,+36,51
3.0,Warrington Town,34.0,14.0,3.0,59.0,29.0,+30,48
4.0,Ashton United,34.0,7.0,10.0,56.0,55.0,+1,41
5.0,Droylsden,34.0,10.0,9.0,51.0,47.0,+4,40
6.0,Wren Rovers,34.0,9.0,10.0,53.0,41.0,+12,39
7.0,Great Harwood Town,34.0,4.0,13.0,49.0,44.0,+5,38
8.0,Chadderton,34.0,9.0,12.0,47.0,46.0,+1,35
9.0,Colne Dynamoes,34.0,14.0,11.0,45.0,40.0,+5,32
10.0,Atherton Laburnum Rovers,34.0,6.0,15.0,42.0,43.0,−1,32
11.0,Nantwich Town,34.0,5.0,16.0,50.0,47.0,+3,31
12.0,Ford Motors,34.0,8.0,15.0,44.0,45.0,−1,30
13.0,Skelmersdale United,34.0,8.0,15.0,39.0,56.0,−17,30
14.0,Rossendale United,34.0,9.0,15.0,51.0,53.0,−2,29
15.0,Salford,34.0,5.0,18.0,46.0,64.0,−18,27
16.0,Darwen,34.0,6.0,21.0,32.0,62.0,−30,20
17.0,Padiham,34.0,5.0,21.0,42.0,74.0,−32,19 2
18.0,Ellesmere Port & Neston,34.0,7.0,22.0,34.0,67.0,−33,15 2
