Season,Games,Lost,Tied,Points,Goals for,Goals against,Standing
1994–95,80.0,45.0,11.0,59.0,234.0,300.0,"6th, North"
1995–96,80.0,28.0,12.0,88.0,242.0,244.0,"2nd, North"
1996–97,80.0,23.0,9.0,100.0,256.0,234.0,"1st, New England"
1997–98,80.0,31.0,9.0,83.0,267.0,268.0,"4th, New England"
1998–99,80.0,36.0,8.0,78.0,237.0,260.0,"4th, New England"
1999–00,80.0,31.0,11.0,83.0,249.0,250.0,"3rd, New England"
2000–01,80.0,20.0,9.0,108.0,264.0,205.0,"1st, New England"
2001–02,80.0,33.0,7.0,86.0,245.0,218.0,"3rd, North"
2002–03,80.0,27.0,15.0,88.0,235.0,220.0,"3rd, North"
2003–04,80.0,27.0,13.0,90.0,207.0,186.0,"3rd, Atlantic"
2004–05,80.0,34.0,3.0,85.0,212.0,223.0,"5th, Atlantic"
