Country,2010,2011,2012,2013
Romania,887763.0,968576.0,997000.0,n.a.
Morocco,431529.0,452424.0,506369.0,"513,374"
Albania,466684.0,482627.0,491495.0,"497,761"
China,188352.0,209934.0,277570.0,"304,768"
Ukraine,174129.0,200730.0,223782.0,"224,588"
Philippines,123584.0,134154.0,152382.0,"158,308"
India,105863.0,121036.0,145164.0,"150,462"
Moldova,37.971,130948.0,147519.0,"149,231"
Egypt,82064.0,90365.0,117145.0,"123,529"
Tunisia,103678.0,106291.0,122595.0,"121,483"
Bangladesh,73965.0,82451.0,106671.0,"113,811"
Poland,105608.0,109018.0,112000.0,n.a.
Peru,87747.0,98603.0,107847.0,n.a.
Serbia,53875.0,52954.0,101554.0,n.a.
Sri Lanka,75343.0,81094.0,94577.0,n.a.
Pakistan,64859.0,75720.0,90185.0,n.a.
Ecuador,85940.0,91625.0,89626.0,n.a.
Senegal,72618.0,80989.0,87311.0,n.a.
Macedonia,92847.0,89900.0,82209.0,n.a.
