Game,Date,Opponent,Result,Giants points,Opponents,Record,Attendance
1.0,Sept. 11,at Washington Redskins,Win,27.0,24.0,1–0,54160.0
2.0,Sept. 17,Detroit Lions,Win,24.0,14.0,2–0,76021.0
3.0,Sept. 24,Phoenix Cardinals,Win,35.0,7.0,3–0,75742.0
4.0,Oct. 1,at Dallas Cowboys,Win,30.0,13.0,4–0,51785.0
5.0,Oct. 8,at Philadelphia Eagles,Loss,19.0,21.0,4–1,65688.0
6.0,Oct. 15,Washington Redskins,Win,20.0,17.0,5–1,76245.0
7.0,Oct. 22,at San Diego Chargers,Win,20.0,13.0,6–1,46566.0
8.0,Oct. 30,Minnesota Vikings,Win,24.0,14.0,7–1,76041.0
9.0,Nov. 5,at Phoenix Cardinals,Win,20.0,13.0,8–1,46588.0
10.0,Nov. 12,at Los Angeles Rams,Loss,10.0,31.0,8–2,65127.0
11.0,Nov. 19,Seattle Seahawks,Win,15.0,3.0,9–2,75014.0
12.0,Nov. 27,at San Francisco 49ers,Loss,24.0,34.0,9–3,63461.0
13.0,Dec. 3,Philadelphia Eagles,Loss,17.0,24.0,9–4,74809.0
14.0,Dec. 10,at Denver Broncos,Win,14.0,7.0,10–4,63283.0
15.0,Dec. 16,Dallas Cowboys,Win,15.0,0.0,11–4,72141.0
