Team,Winners,Runners-up,Years won,Years runner-up
Barcelona,4.0,2.0,"1979 , 1982 , 1989 , 1997","1969 , 1991"
Anderlecht,2.0,2.0,"1976 , 1978","1977 , 1990"
Milan,2.0,1.0,"1968 , 1973",1974
Chelsea,2.0,0.0,"1971 , 1998",—
Dynamo Kyiv,2.0,0.0,"1975 , 1986",—
Atlético Madrid,1.0,2.0,1962,"1963 , 1986"
Rangers,1.0,2.0,1972,"1961 , 1967"
Arsenal,1.0,2.0,1994,"1980 , 1995"
Fiorentina,1.0,1.0,1961,1962
West Ham United,1.0,1.0,1965,1976
Hamburg,1.0,1.0,1977,1968
Ajax,1.0,1.0,1987,1988
Sampdoria,1.0,1.0,1990,1989
Parma,1.0,1.0,1993,1994
Paris Saint-Germain,1.0,1.0,1996,1997
Tottenham Hotspur,1.0,0.0,1963,—
Sporting CP,1.0,0.0,1964,—
Borussia Dortmund,1.0,0.0,1966,—
Bayern Munich,1.0,0.0,1967,—
Slovan Bratislava,1.0,0.0,1969,—
Manchester City,1.0,0.0,1970,—
1. FC Magdeburg,1.0,0.0,1974,—
Valencia,1.0,0.0,1980,—
Dinamo Tbilisi,1.0,0.0,1981,—
Aberdeen,1.0,0.0,1983,—
Juventus,1.0,0.0,1984,—
Everton,1.0,0.0,1985,—
Mechelen,1.0,0.0,1988,—
Manchester United,1.0,0.0,1991,—
Werder Bremen,1.0,0.0,1992,—
Real Zaragoza,1.0,0.0,1995,—
Lazio,1.0,0.0,1999,—
Real Madrid,0.0,2.0,—,"1971 , 1983"
Rapid Wien,0.0,2.0,—,"1985 , 1996"
MTK Hungária,0.0,1.0,—,1964
1860 Munich,0.0,1.0,—,1965
Liverpool,0.0,1.0,—,1966
Górnik Zabrze,0.0,1.0,—,1970
Dynamo Moscow,0.0,1.0,—,1972
Leeds United,0.0,1.0,—,1973
Ferencváros,0.0,1.0,—,1975
Austria Wien,0.0,1.0,—,1978
Fortuna Düsseldorf,0.0,1.0,—,1979
Carl Zeiss Jena,0.0,1.0,—,1981
Standard Liège,0.0,1.0,—,1982
Porto,0.0,1.0,—,1984
1. FC Lokomotive Leipzig,0.0,1.0,—,1987
AS Monaco,0.0,1.0,—,1992
Royal Antwerp,0.0,1.0,—,1993
Stuttgart,0.0,1.0,—,1998
Real Mallorca,0.0,1.0,—,1999
