Game,December,Opponent,Score,Record
27.0,4.0,@ Toronto Maple Leafs,4 - 3,19-6-2
28.0,5.0,New Jersey Devils,2 - 1,20-6-2
29.0,8.0,Edmonton Oilers,1 - 1 OT,20-6-3
30.0,13.0,Buffalo Sabres,2 - 0,21-6-3
31.0,15.0,Hartford Whalers,5 - 2,22-6-3
32.0,17.0,@ Detroit Red Wings,6 - 4,22-7-3
33.0,19.0,Ottawa Senators,6 - 3,23-7-3
34.0,22.0,@ Florida Panthers,3 - 2,23-8-3
35.0,23.0,@ Washington Capitals,1 - 0,24-8-3
36.0,26.0,New Jersey Devils,8 - 3,25-8-3
37.0,29.0,@ St. Louis Blues,4 - 3,26-8-3
38.0,31.0,@ Buffalo Sabres,4 - 1,26-9-3
