No,Player,Height,Position,Year born,Current Club
4.0,Rimantas Kaukėnas,1.92,Guard,1977.0,Montepaschi Siena
5.0,Giedrius Gustas,1.90,Guard,1980.0,Barons Riga
6.0,Jonas Mačiulis,2.00,Forward,1985.0,Žalgiris Kaunas
7.0,Darjuš Lavrinovič,2.12,Center,1979.0,UNICS Kazan
8.0,Ramūnas Šiškauskas,1.98,Guard,1978.0,CSKA Moscow
9.0,Darius Songaila,2.04,Forward,1978.0,Washington Wizards
10.0,Simas Jasaitis,2.00,Forward,1982.0,TAU Cerámica
11.0,Linas Kleiza,2.03,Forward,1985.0,Denver Nuggets
12.0,Kšyštof Lavrinovič,2.10,Center,1979.0,Montepaschi Siena
13.0,Šarūnas Jasikevičius,1.92,Guard,1976.0,Golden State Warriors
14.0,Paulius Jankūnas,2.05,Forward,1984.0,Žalgiris Kaunas
