Rank,Nation,Gold,Silver,Bronze,Total
1,United States (USA),97.0,88.0,52.0,237.0
2,Cuba (CUB),59.0,35.0,41.0,135.0
3,Brazil (BRA) [§ ],52.0,40.0,65.0,157.0
4,Canada (CAN),39.0,44.0,55.0,138.0
5,Mexico (MEX),18.0,24.0,31.0,73.0
6,Colombia (COL),14.0,20.0,13.0,47.0
7,Venezuela (VEN),12.0,23.0,35.0,70.0
8,Argentina (ARG),11.0,16.0,33.0,60.0
9,Dominican Republic (DOM),6.0,6.0,17.0,29.0
10,Chile (CHI),6.0,5.0,9.0,20.0
11,Ecuador (ECU),5.0,4.0,10.0,19.0
12,Puerto Rico (PUR),3.0,6.0,12.0,21.0
13,Jamaica (JAM),3.0,5.0,1.0,9.0
14,Guatemala (GUA),2.0,3.0,2.0,7.0
15,Bahamas (BAH),2.0,2.0,3.0,7.0
16,El Salvador (ESA) [‡ ],1.0,3.0,6.0,10.0
17,Panama (PAN),1.0,1.0,0.0,2.0
18,Antigua and Barbuda (ANT) [‡ ],1.0,0.0,2.0,3.0
19,Netherlands Antilles (AHO),1.0,0.0,1.0,2.0
20,Peru (PER),0.0,4.0,8.0,12.0
21,Trinidad and Tobago (TRI),0.0,1.0,3.0,4.0
22,Uruguay (URU),0.0,1.0,2.0,3.0
23,Cayman Islands (CAY),0.0,1.0,0.0,1.0
24,Nicaragua (NCA),0.0,0.0,2.0,2.0
25,Barbados (BAR),0.0,0.0,1.0,1.0
25,Dominica (DMA),0.0,0.0,1.0,1.0
25,Grenada (GRN),0.0,0.0,1.0,1.0
25,Guyana (GUY),0.0,0.0,1.0,1.0
25,Haiti (HAI),0.0,0.0,1.0,1.0
25,Honduras (HON),0.0,0.0,1.0,1.0
25,Saint Lucia (LCA),0.0,0.0,1.0,1.0
25,Paraguay (PAR),0.0,0.0,1.0,1.0
Total,Total,333.0,332.0,411.0,1076.0
