Year,Champion,Runner-Up,Score,Venue
1888.0,Norwood,South Melbourne,3 games - 0,"Kensington Oval, Adelaide"
1890.0,Port Adelaide,South Melbourne,7.10 - 6.13 *,Adelaide Oval
1893.0,Essendon,South Adelaide,10.23 - 3.6 *,"Victoria Park, Melbourne"
1907.0,Norwood,Carlton,13.12 (90) - 8.10 (58),Adelaide Oval
1908.0,West Adelaide,Carlton,12.9 (81) - 7.10 (52),Adelaide Oval
1909.0,South Melbourne,West Adelaide,11.8 (74) - 7.14 (56),Melbourne Cricket Ground
1910.0,Port Adelaide,Collingwood,15.20 (110) - 7.9 (51),Adelaide Oval
1911.0,West Adelaide,Essendon,8.9 (57) - 7.12 (54),Adelaide Oval
1913.0,Port Adelaide,Fitzroy,13.16 (94) - 4.7 (31),Adelaide Oval
1914.0,Port Adelaide,Carlton,9.16 (70) - 5.6 (36),Adelaide Oval
1968.0,Carlton,Sturt,13.15 (93) - 6.20 (56),Adelaide Oval
1969.0,Richmond,Sturt,15.27 (117) - 9.10 (64),Adelaide Oval
1970.0,Carlton,Sturt,21.13 (139) - 12.22 (94),Adelaide Oval
1971.0,Hawthorn,North Adelaide,13.13 (91) - 10.7 (67),Adelaide Oval
1972.0,North Adelaide,Carlton,10.13 (73) - 10.12 (72),Adelaide Oval
1973.0,Richmond,Subiaco,12.20 (92) - 10.19 (79),Adelaide Oval
1974.0,Richmond,Sturt,27.11 (173) - 13.17 (95),Football Park
1975.0,North Melbourne,Norwood,17.15 (117) - 5.11 (41),Football Park
1976.0,Hawthorn,North Melbourne,12.17 (89) - 5.11 (41),Norwood Oval **
