Round,Overall,Player,Nationality,Club team
1.0,26.0,Martin Havlat,Czech Republic,Trinec Ocelari (Czech.)
2.0,48.0,Simon Lajeunesse,Canada,Moncton Wildcats (QMJHL)
2.0,62.0,Teemu Sainomaa,Finland,Jokerit ( Helsinki ) (Finland)
3.0,94.0,Chris Kelly,Canada,London Knights (OHL)
5.0,154.0,Andrew Ianiero,Canada,Kingston Frontenacs (OHL)
6.0,164.0,Martin Prusek,Czech Republic,HC Vitkovice Ostrava (Czech.)
7.0,201.0,Mikko Ruutu,Finland,HIFK ( Helsinki ) (Finland)
7.0,209.0,Layne Ulmer,Canada,Swift Current Broncos (WHL)
7.0,213.0,Alexandre Giroux,Canada,Hull Olympiques (QMJHL)
9.0,269.0,Konstantin Gorovikov,Russia,SKA Saint Petersburg (Russia)
