Year,Stage,Start of stage,Distance (km),Category of climb,Stage winner,Nationality,Yellow jersey,Bend
2013 †,18.0,Gap,172.5,HC,Christophe Riblon,France,Chris Froome,15.0
2011,19.0,Modane,109.5,HC,Pierre Rolland,France,Andy Schleck,16.0
2008,17.0,Embrun,210.5,HC,Carlos Sastre,Spain,Carlos Sastre,17.0
2006,15.0,Gap,187,HC,Fränk Schleck,Luxembourg,Floyd Landis,18.0
2004,16.0,Bourg-d'Oisans,15.5 ( ITT ),HC,Lance Armstrong,United States,Lance Armstrong,19.0
2003,8.0,Sallanches,219,HC,Iban Mayo,Spain,Lance Armstrong,20.0
2001,10.0,Aix-les-Bains,209,HC,Lance Armstrong,United States,François Simon,21.0
1999,10.0,Sestrières,220.5,HC,Giuseppe Guerini,Italy,Lance Armstrong,1.0
1997,13.0,Saint-Étienne,203.5,HC,Marco Pantani,Italy,Jan Ullrich,2.0
1995,10.0,Aime – La Plagne,162.5,HC,Marco Pantani,Italy,Miguel Indurain,3.0
1994,16.0,Valréas,224.5,HC,Roberto Conti,Italy,Miguel Indurain,4.0
1992,14.0,Sestrières,186.5,HC,Andrew Hampsten,United States,Miguel Indurain,5.0
1991,17.0,Gap,125,HC,Gianni Bugno,Italy,Miguel Indurain,6.0
1990,11.0,Saint-Gervais – Mont Blanc,182.5,HC,Gianni Bugno,Italy,Ronan Pensec,7.0
1989,17.0,Briançon,165,HC,Gert-Jan Theunisse,Netherlands,Laurent Fignon,8.0
1988,12.0,Morzine,227,HC,Steven Rooks,Netherlands,Pedro Delgado,9.0
1987,20.0,Villard-de-Lans,201,HC,Federico Echave,Spain,Pedro Delgado,10.0
1986,18.0,Briançon – Serre Chevalier,182.5,HC,Bernard Hinault,France,Greg LeMond,11.0
1984,17.0,Grenoble,151,HC,Luis Herrera,Colombia,Laurent Fignon,12.0
1983,17.0,La Tour-du-Pin,223,HC,Peter Winnen,Netherlands,Laurent Fignon,13.0
1982,16.0,Orcières-Merlette,123,HC,Beat Breu,Switzerland,Bernard Hinault,14.0
1981,19.0,Morzine,230.5,HC,Peter Winnen,Netherlands,Bernard Hinault,15.0
1979 *,18.0,Alpe d'Huez,118.5,HC,Joop Zoetemelk,Netherlands,Bernard Hinault,16.0
1979 *,17.0,Les Menuires,166.5,HC,Joaquim Agostinho,Portugal,Bernard Hinault,17.0
1978,16.0,Saint-Étienne,240.5,1,Hennie Kuiper,Netherlands,Joop Zoetemelk,18.0
1977,17.0,Chamonix,184.5,1,Hennie Kuiper,Netherlands,Bernard Thévenet,19.0
1976,9.0,Divonne-les-Bains,258,1,Joop Zoetemelk,Netherlands,Lucien Van Impe,20.0
