Year,September,October,November,December
1969.0,Evelyn Treacher,Kelly McQueen,Ulla Lindstrom,Janet Pearce
1970.0,Tina McDowall,Heide Mann,Franca Petrov,Jennifer Furse
1971.0,Maureen Renzen,Helen Caunt,Lynette Asquith,Lynn Partington
1972.0,Isobel Garcia Orobiyi,Janet Dunphy,Angela Adams,Lynn Carey
1973.0,Anneka De Lorenzo,Francis Canon,Debbie Griffin,Sandy Robertson
1974.0,Janice Kane,Laura Bennett Doone,Sharon Longworth,Cathy Green
1975.0,Michelle Stevens,Anne Peters,Bonnie Dee Wilson,Susan Waide
1976.0,Dawn Shaw,Susanne Saxon,Carolyn Patsis,Adrian King
1977.0,Lucia St. Angelo,Cynthia Gaynor,Debora Zullo,Cheryl Rixon
1978.0,Kate Simmons,Veronique de Valdene,Malia Redford,Amber Ramsey
1979.0,Joanne Latham,Tammy Hill,Danielle Ginibre,Judi Gibbs
1980.0,Delia Cosner,Kristen Knutsen,Betsy Dobson,Ava Monet
1981.0,Cynthia Peterson,Connie Lynn Hadden,Terry Armstrong,Sheila Kennedy
1982.0,Lee Ann Lee,Laurie L'Oranger,Nicole Monrowe,Monique Gabrielle
1983.0,Rachel Wesley,Nadine Greenlaw,Lale Hansen,Lisa Schultz
1984.0,Traci Lords,Marie Ehlman,Mindy Farrar,Angela Marie Mineo
1985.0,Christine Dupre,Jennifer James,Carina Ragnarsson,Lori Baker
1986.0,Ginger Miller,Janna Adams,Beth Snyder,Jill Shawntai
1987.0,Stephanie Page,Terri Lenee Peake,Lisa Bradford,Janine Lindemulder
1988.0,Twyla Martak,Tami Hogen,Deborah Laufer,Kimberly Taylor
1989.0,Lynn Johnson,Diana Van Gils,Mikki Brenner,Kirsten Stewart
1990.0,Linda Johansen,Kelly Jackson,Barbie Ashton,Diana Van Laar
1991.0,Sasha Vinni,Pamela Peters,Shannon Williams,Jean Carew
1992.0,Seana Ryan,Chanel,Alexis Christian,Anja Josefsen
1993.0,Andi Sue Irwin,Stacy Moran,Melissa McGlathery,Levena Holmes
1994.0,Leigh Anderson,Heidi Lynne,Veronica Gillespie,Brandi Lee Braxton
1995.0,Ashley Williams,Shandra Leigh,Cher,Nikki Tyler
1996.0,Tania Russof,Lisa Gayle,Samantha Michaels,Heather St. James
1997.0,Rocki Roads,Mason Marconi,Alexus Winston,Juliet Cariaga
1998.0,Tamara,Silvia Saint,Melissa Ann,Vicca
1999.0,Alexa Lauren,Devinn Lane,K.C. Tyler,Jacqueline Marie Phillips
2000.0,Aria Giovanni,Linn Thomas,Mercedes Lynn,Suzette Spencer
2001.0,Stephanie Wood,Teanna Kai,Melissa Starr,Cheyenne Silver
2002.0,Jassie Lewis,Monique Hajkova,Natalia Cruze,Kira Kener
2003.0,Chantelle Fontain,none,Anais Alexander,Aneta Smrhova
2004.0,Ginger Jolie,Prinzzess,Peach,Ashley Roberts
2005.0,Gina Austin,Melissa Jacobs,Renee Diaz,Bella Starr
2006.0,Michelle Ramos,Kimberley Rogers,Brea Lynn,Hanna Hilton
2007.0,Justine Joli,Lux Kassidy,Jaime Hammer,Adrienne Manning
2008.0,Kayden Kross,Justene Jaro,Audrey Bitoni,Tori Black
2009.0,Taylor Vixen,Ryan Keely,Yumi Kai,Jayden Cole
2010.0,Isis Taylor,Nina James,Phoenix Marie,Sabrina Maree
2011.0,Emily Addison,Jenna Rose,Malena Morgan,Natasha Nice
2012.0,Ainsley Addison,Samantha Saint,Adrianna Luna,Lily Love
2013.0,Capri Cavanni,Kortney Kane,Valentina Nappi,TBA
