No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
350.0,1.0,"""Red Ball""",Matthew Penn,David Wilcox,"September21,2005",16001.0,13.03
351.0,2.0,"""Flaw""",Jean de Segonzac,Chris Levinson,"September28,2005",16002.0,15.06
352.0,3.0,"""Ghosts""",Constantine Makris,Rick Eid,"October5,2005",16003.0,12.59
353.0,4.0,"""Age of Innocence""",David Platt,Davey Holmes,"October12,2005",16005.0,10.92
354.0,5.0,"""Life Line""",Rosemary Rodriguez,Greg Plageman,"October19,2005",16006.0,12.33
355.0,6.0,"""Birthright""",Constantine Makris,David Slack,"November2,2005",16007.0,12.57
356.0,7.0,"""House of Cards""",Michael Pressman,Wendy Battles,"November9,2005",16008.0,10.86
357.0,8.0,""" New York Minute """,Don Scardino,Nicholas Wootton,"November16,2005",16009.0,11.44
358.0,9.0,"""Criminal Law""",Ed Sherin,David Wilcox,"November23,2005",16010.0,11.93
359.0,10.0,"""Acid""",Michael Pressman,Richard Sweren,"November30,2005",16011.0,12.87
360.0,11.0,"""Bible Story""",Rick Wallace,Richard Sweren,"December7,2005",16004.0,12.13
361.0,12.0,"""Family Friend""",Jean de Segonzac,Philippe Browning,"January11,2006",16012.0,12.83
362.0,13.0,"""Heart of Darkness""",Richard Dobbs,Carter Harris,"January18,2006",16013.0,12.38
363.0,14.0,"""Magnet""",Adam Bernstein,David Black,"February8,2006",16014.0,14.53
364.0,15.0,"""Choice of Evils""",Michael Pressman,David Wilcox,"March1,2006",16016.0,12.39
365.0,16.0,"""Cost of Capital""",Michael W. Watkins,Tom Smuts & Rick Eid,"March8,2006",16010.0,11.79
366.0,17.0,"""America, Inc.""",Jean de Segonzac,Richard Sweren,"March22,2006",16017.0,9.00
367.0,18.0,"""Thinking Makes It So""",Tony Goldwyn,Michael S. Chernuchin,"March29,2006",16019.0,9.35
368.0,19.0,"""Positive""",Richard Dobbs,Sonny Postiglione,"April5,2006",16020.0,10.84
369.0,20.0,"""Kingmaker""",Don Scardino,David Slack,"May3,2006",16018.0,10.66
370.0,21.0,"""Hindsight""",Jean de Segonzac,Chris Levinson,"May10,2006",16021.0,12.68
