Name,Nationality,Position,Flamengo career,Appearances,Goals
Adriano,Brazil,FW,2000–2001 2009–2010,94.0,44.0
Adílio,Brazil,AM,1978–1987,616.0,128.0
Alfredinho,Brazil,FW,1934–1936,105.0,101.0
Aldair,Brazil,CB,1985–1989,185.0,11.0
Andrade,Brazil,DM,1979–1987,569.0,28.0
Athirson,Brazil,LB/CM,1996–2000 2002–2004,252.0,37.0
Bebeto,Brazil,FW,1983–1989 1996,307.0,151.0
Jorge Benítez,Paraguay,AM/FW,1952–1956,115.0,75.0
Beto,Brazil,AM,1998–2002,177.0,32.0
Biguá,Brazil,RB/DM,1941–1953,390.0,7.0
Borgerth,Brazil,FW,1912–1916,45.0,21.0
Modesto Bria,Paraguay,DM,1943–1953,369.0,8.0
Bruno,Brazil,GK,2006–2010,232.0,4.0
Candiota,Brazil,FW,1919–1927,118.0,50.0
Cantarele,Brazil,GK,1973–1989,549.0,0.0
Carlinhos,Brazil,DM,1958–1969,517.0,23.0
Carpegiani,Brazil,DM,1977–1981,223.0,12.0
Cláudio Adão,Brazil,FW,1977–1980 1983,154.0,82.0
Dequinha,Brazil,DM,1950–1959,384.0,8.0
Dida,Brazil,AM/FW,1954–1963,357.0,264.0
Djalminha,Brazil,AM,1989–1993,133.0,28.0
Domingos da Guia,Brazil,CB,1936–1943,230.0,0.0
Narciso Doval,Argentina,FW,1969–1976,263.0,92.0
Durval,Brazil,FW,1948–1951,133.0,124.0
Edílson,Brazil,FW,2000–2001 2003,115.0,51.0
Esquerdinha,Brazil,FW,1948–1955,280.0,117.0
Evaristo,Brazil,FW,1953–1957 1965–1966,191.0,103.0
Fabio Luciano,Brazil,CB,2007–2009,93.0,7.0
Felipe,Brazil,AM,2003–2004,87.0,12.0
Fio,Brazil,FW,1965–1973,288.0,79.0
Flávio Costa,Brazil,DM,1926–1936,145.0,15.0
Sinforiano Garcia,Paraguay,GK,1949–1958,276.0,0.0
Gaúcho,Brazil,FW,1990–1993,200.0,98.0
Geraldo,Brazil,AM,1973–1976,169.0,13.0
Gérson,Brazil,CM,1959–1963,153.0,86.0
Gilmar,Brazil,GK,1991–1994,239.0,0.0
Henrique,Brazil,FW,1954–1963,412.0,216.0
Ibson,Brazil,CM,2003–2005 2007–2009 2012–2013,234.0,35.0
Índio,Brazil,FW,1951–1957,218.0,142.0
Jadir,Brazil,RB/DM,1952–1962,501.0,8.0
