Athlete,Nation,Sport,Years,Games,Gold,Silver,Bronze,Total
Larisa Latynina Category:Articles with hCards,Soviet Union,Gymnastics,1956–1964,Summer,6.0,5.0,3.0,14.0
Michael Phelps Category:Articles with hCards,United States,Swimming,2004–2012,Summer,11.0,1.0,1.0,13.0
Nikolai Andrianov Category:Articles with hCards,Soviet Union,Gymnastics,1972–1980,Summer,6.0,3.0,3.0,12.0
Boris Shakhlin Category:Articles with hCards,Soviet Union,Gymnastics,1956–1964,Summer,6.0,2.0,2.0,10.0
Takashi Ono Category:Articles with hCards,Japan,Gymnastics,1952–1964,Summer,3.0,3.0,4.0,10.0
Alexei Nemov Category:Articles with hCards,Russia,Gymnastics,1996–2000,Summer,3.0,2.0,5.0,10.0
Paavo Nurmi Category:Articles with hCards,Finland,Athletics,1920–1928,Summer,6.0,3.0,0.0,9.0
Bjørn Dæhlie Category:Articles with hCards,Norway,Cross-country skiing,1992–1998,Winter,6.0,3.0,0.0,9.0
Viktor Chukarin Category:Articles with hCards,Soviet Union,Gymnastics,1952–1956,Summer,5.0,3.0,1.0,9.0
Sawao Kato Category:Articles with hCards,Japan,Gymnastics,1968–1976,Summer,5.0,3.0,1.0,9.0
Vitaly Scherbo Category:Articles with hCards,Belarus,Gymnastics,1992–1996,Summer,5.0,0.0,4.0,9.0
Ray Ewry Category:Articles with hCards,United States,Athletics,1900–1908,Summer,8.0,0.0,0.0,8.0
Věra Čáslavská Category:Articles with hCards,Czechoslovakia,Gymnastics,1960–1968,Summer,7.0,1.0,0.0,8.0
Carl Lewis Category:Articles with hCards,United States,Athletics,1984–1996,Summer,7.0,1.0,0.0,8.0
Ole Einar Bjørndalen Category:Articles with hCards,Norway,Biathlon,1998–2010,Winter,4.0,3.0,1.0,8.0
Akinori Nakayama Category:Articles with hCards,Japan,Gymnastics,1968–1972,Summer,4.0,2.0,2.0,8.0
Claudia Pechstein Category:Articles with hCards,Germany,Speed skating,1992–2006,Winter,4.0,2.0,2.0,8.0
Alexander Dityatin Category:Articles with hCards,Soviet Union,Gymnastics,1976–1980,Summer,2.0,5.0,1.0,8.0
Nadia Comăneci Category:Articles with hCards,Romania,Gymnastics,1976–1980,Summer,5.0,1.0,1.0,7.0
Krisztina Egerszegi Category:Articles with hCards,Hungary,Swimming,1988–1996,Summer,5.0,1.0,1.0,7.0
Sixten Jernberg Category:Articles with hCards,Sweden,Cross-country skiing,1956–1964,Winter,3.0,3.0,1.0,7.0
Mikhail Voronin Category:Articles with hCards,Soviet Union,Gymnastics,1968–1972,Summer,2.0,4.0,1.0,7.0
Raisa Smetanina Category:Articles with hCards,Soviet Union,Cross-country skiing,1976–1992,Winter,2.0,4.0,1.0,7.0
Kirsty Coventry Category:Articles with hCards,Zimbabwe,Swimming,2004–2008,Summer,2.0,4.0,1.0,7.0
Ryan Lochte Category:Articles with hCards,United States,Swimming,2004–2012,Summer,2.0,2.0,3.0,7.0
Merlene Ottey Category:Articles with hCards,Jamaica,Athletics,1980–2000,Summer,0.0,2.0,5.0,7.0
