Heat,Lane,Name,Nationality,Time
6.0,3.0,Hanna-Maria Seppälä,Finland,53.60
6.0,4.0,Britta Steffen,Germany,53.67
6.0,5.0,Marleen Veldhuis,Netherlands,53.76
7.0,5.0,Natalie Coughlin,United States,53.82
5.0,6.0,Francesca Halsall,Great Britain,53.93
7.0,4.0,Lisbeth Trickett,Australia,53.99
6.0,6.0,Pang Jiaying,China,54.01
7.0,7.0,Zhu Yingwen,China,54.01
4.0,5.0,Jeanette Ottesen,Denmark,54.04
6.0,2.0,Josefin Lillhage,Sweden,54.07
7.0,3.0,Malia Metella,France,54.12
5.0,7.0,Aliaksandra Herasimenia,Belarus,54.52
5.0,4.0,Cate Campbell,Australia,54.55
5.0,3.0,Lacey Nymeyer,United States,54.62
7.0,6.0,Erica Morningstar,Canada,54.66
6.0,7.0,Petra Dallmann,Germany,54.70
7.0,1.0,Julia Wilkinson,Canada,54.70
5.0,2.0,Alena Popchanka,France,54.86
7.0,8.0,Tatiana Barbosa,Brazil,55.01
6.0,1.0,Agata Ewa Korc,Poland,55.14
6.0,8.0,Lize-Mari Retief,South Africa,55.17
4.0,3.0,Anna Gostomelsky,Israel,55.18
5.0,1.0,Martina Moravcová,Slovakia,55.20
5.0,5.0,Inge Dekker,Netherlands,55.23
4.0,4.0,Anastasia Aksenova,Russia,55.29
3.0,3.0,Hannah Wilson,Hong Kong,55.32
4.0,8.0,Darya Stepanyuk,Ukraine,55.51
3.0,4.0,Arianna Vanderpool-Wallace,Bahamas,55.61
3.0,2.0,Birgit Koschischek,Austria,55.62
4.0,2.0,Arlene Semeco,Venezuela,55.70
5.0,8.0,Jana Klusáčková,Czech Republic,55.92
3.0,1.0,Chang Hee-Jin,South Korea,55.96
4.0,7.0,Triin Aljand,Estonia,56.10
2.0,5.0,Quah Ting Wen,Singapore,56.14
3.0,5.0,Ragnheidur Ragnarsdottir,Iceland,56.35
3.0,8.0,Anna Stylianou,Cyprus,56.38
3.0,7.0,Eleni Kosti,Greece,56.44
4.0,1.0,Miroslava Najdanovski,Serbia,56.50
2.0,6.0,Natthanan Junkrajang,Thailand,56.56
2.0,4.0,Orsolya Tompa,Hungary,56.57
2.0,7.0,Christel Simms,Philippines,56.67
4.0,6.0,Maria Laura Simonetto,Italy,56.72
2.0,3.0,Nieh Pin-Chieh,Chinese Taipei,57.28
3.0,6.0,Nina Sovinek,Slovenia,57.30
1.0,4.0,Madeleine Scerri,Malta,57.97
2.0,2.0,Irina Shlemova,Uzbekistan,58.77
1.0,5.0,Elena Popovska,Macedonia,59.93
1.0,6.0,Olga Hachatryan,Turkmenistan,1:14.77
7.0,2.0,Caitlin McClatchey,Great Britain,DNS
