Round,Pick,Name,Position,School
1.0,25.0,"Billy Cannon, Jr.",Linebacker,Texas A&M
2.0,40.0,Victor Scott,Safety,Colorado
3.0,81.0,Fred Cornwell,Tight End,USC
4.0,110.0,Steve DeOssie,Linebacker,Boston College
5.0,113.0,Steve Pelluer,Quarterback,Washington
5.0,137.0,Norm Granger,Running Back,Iowa
6.0,152.0,Eugene Lockhart,Linebacker,Houston
6.0,166.0,Joe Levelis,Offensive Guard,Iowa
7.0,193.0,Ed Martin,Linebacker,Indiana State
8.0,222.0,Mike Revell,Running Back,Bethune-Cookman
9.0,232.0,John Hunt,Offensive Guard,Florida
9.0,249.0,Neil Maune,Offensive Guard,Notre Dame
10.0,278.0,Brian Salonen,Tight End,Montana
11.0,304.0,Dowe Aughtman,Defensive Tackle,Auburn
12.0,334.0,Carl Lewis,Wide Receiver,Houston
