Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Saddle Butte,Golden Valley,25.0,35.278,0.178,47.021142,-103.976050,3803369580.0,1037074.0
Saline,McHenry,24.0,36.152,0.113,48.422249,-100.874792,3804970340.0,1759513.0
Sand Creek,Slope,34.0,70.850,0.142,46.494140,-103.427739,3808770420.0,1037174.0
Sandoun,Ransom,66.0,36.046,0.000,46.413051,-97.343555,3807370460.0,1036865.0
Saratoga,LaMoure,52.0,36.146,0.042,46.594666,-98.462855,3804570660.0,1036913.0
Sargent,Sargent,32.0,35.883,0.000,46.066125,-97.820711,3808170740.0,1036796.0
Sarnia,Nelson,39.0,34.766,1.236,48.150359,-98.100117,3806370820.0,1036581.0
Sauk Prairie,Ward,23.0,35.813,0.061,48.669986,-101.898137,3810170860.0,1759690.0
Sauk Valley,Williams,60.0,35.573,0.179,48.583714,-102.944265,3810570900.0,1037006.0
Sauter,Walsh,37.0,34.835,1.156,48.245457,-98.217289,3809970940.0,1036523.0
Sawyer,Ward,183.0,35.499,0.053,48.068530,-101.088604,3810171020.0,2397870.0
Scandia,Bottineau,46.0,43.860,0.000,48.946531,-100.774709,3800971060.0,1759294.0
Schiller,McHenry,48.0,35.433,0.998,47.975087,-100.270874,3804971180.0,1759514.0
Schrunk,Burleigh,18.0,32.710,1.723,47.294280,-100.413430,3801571220.0,1759345.0
Scorio,Williams,37.0,34.956,0.827,48.595028,-103.732864,3810571300.0,1036920.0
Scotia,Bottineau,50.0,40.181,1.138,48.944595,-100.895783,3800971340.0,1759295.0
Scott,Adams,106.0,35.837,0.209,45.984305,-102.560385,3800171380.0,1037219.0
Scoville,Ransom,35.0,18.054,0.000,46.391559,-97.469165,3807371460.0,1036867.0
Scranton,Bowman,67.0,34.917,0.088,46.169722,-103.178994,3801171540.0,2397871.0
Sealy,Logan,23.0,36.361,0.161,46.595398,-99.863326,3804771580.0,1037062.0
Seivert,Cavalier,15.0,28.060,1.871,48.578664,-98.901129,3801971620.0,1759379.0
