Position,Team,Points,Played,Drawn,Lost,Against,Difference
1.0,Corinthians,36.0,20.0,2.0,1.0,16.0,47
2.0,Palestra Itália-SP,30.0,20.0,4.0,3.0,25.0,31
3.0,Portuguesa,26.0,20.0,2.0,6.0,33.0,8
4.0,São Paulo Railway,24.0,20.0,2.0,7.0,41.0,8
5.0,São Paulo,21.0,20.0,1.0,9.0,28.0,13
6.0,Santos,20.0,20.0,4.0,8.0,33.0,2
7.0,Juventus,17.0,20.0,3.0,10.0,37.0,- 4
8.0,Hespanha,14.0,20.0,4.0,11.0,46.0,- 18
9.0,Portuguesa Santista,12.0,20.0,0.0,14.0,54.0,- 22
10.0,Comercial-SP,11.0,20.0,3.0,13.0,64.0,- 41
11.0,Ypiranga-SP,9.0,20.0,1.0,15.0,51.0,- 24
