Driver,Constructor,Laps,Time/Retired,Grid
Juan Manuel Fangio,Maserati,36.0,2:44:42.4,1.0
Maurice Trintignant,Ferrari,36.0,+ 24.2,6.0
Stirling Moss,Maserati,35.0,+ 1 Lap,9.0
Mike Hawthorn José Froilán González,Ferrari,35.0,+ 1 Lap,5.0
André Pilette,Gordini,35.0,+ 1 Lap,8.0
Prince Bira,Maserati,35.0,+ 1 Lap,13.0
Sergio Mantovani,Maserati,34.0,+ 2 Laps,11.0
Nino Farina,Ferrari,14.0,Ignition,3.0
Paul Frère,Gordini,14.0,Engine,10.0
Jean Behra,Gordini,12.0,Suspension,7.0
Onofre Marimón,Maserati,3.0,Engine,4.0
José Froilán González,Ferrari,1.0,Engine,2.0
Jacques Swaters,Ferrari,1.0,Engine,14.0
Roberto Mieres,Maserati,0.0,Fire,12.0
