Locomotive superintendent,GNoSR Class,LNER class,Quantity Built,Passed to LNER,Manufacturer,Date introduced
William Cowan (1857–83),K,D47/2,6.0,3.0,Neilson & Co.,1866
William Cowan (1857–83),L,D47/1,6.0,6.0,Neilson & Co.,1876
William Cowan (1857–83),M,D45,9.0,9.0,Neilson & Co.,1878
William Cowan (1857–83),C,D39,3.0,3.0,Neilson & Co.,1879
James Manson (1883–90),A,D44,6.0,6.0,Kitson & Co.,1884
James Manson (1883–90),G,D48,3.0,3.0,Kitson & Co.,1885
James Manson (1883–90),D,J90,6.0,6.0,Kitson & Co.,1884
James Manson (1883–90),E,J91,3.0,3.0,Kitson & Co.,1885
James Manson (1883–90),N,D46,2.0,2.0,GNSR Kittybrewster,1887
James Manson (1883–90),O,D42,9.0,9.0,Kitson & Co.,1888
James Manson (1883–90),P,D43,3.0,3.0,R. Stephenson & Co.,1890
James Manson (1883–90),Q,D38,3.0,3.0,R. Stephenson & Co.,1890
James Johnson (1890–94),R,G10,9.0,9.0,Neilson & Co.,1893
James Johnson (1890–94),S,D41,6.0,6.0,Neilson & Co.,1893
William Pickersgill (1894–1914),T,D41,26.0,26.0,Neilson & Co.,1895–98
William Pickersgill (1894–1914),V,D40,5.0,13.0,Neilson & Co.,1899–1900
William Pickersgill (1894–1914),V,D40,8.0,13.0,GNSR Inverurie,1910–15
Thomas E. Heywood (1914–23),Y,Z5,2.0,2.0,Manning Wardle,1915
Thomas E. Heywood (1914–23),X,"Z5, later Z4",2.0,2.0,Manning Wardle,1915
Thomas E. Heywood (1914–23),F,D40,6.0,8.0,North British Loco. Co.,1920
Thomas E. Heywood (1914–23),F,D40,2.0,8.0,GNSR Inverurie,1921
