Rank,Country/Territory,Mister International,1st runner-up,2nd runner-up,3rd runner-up,4th runner-up,Semifinalists,Total
1.0,Lebanon,2.0,1.0,1.0,0.0,1.0,0.0,5.0
2.0,Brazil,2.0,1.0,0.0,1.0,0.0,1.0,5.0
3.0,Vietnam,1.0,0.0,0.0,1.0,0.0,1.0,3.0
4.0,Bolivia,1.0,0.0,0.0,0.0,0.0,1.0,2.0
5.0,Great Britain,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,Spain,0.0,1.0,1.0,0.0,0.0,0.0,2.0
8.0,Venezuela,0.0,1.0,0.0,1.0,0.0,5.0,7.0
9.0,Singapore,0.0,1.0,0.0,0.0,0.0,4.0,5.0
10.0,South Korea,0.0,1.0,0.0,0.0,0.0,2.0,3.0
11.0,Czech Republic,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12.0,Greece,0.0,0.0,2.0,0.0,1.0,1.0,4.0
13.0,Indonesia,0.0,0.0,1.0,1.0,0.0,4.0,6.0
14.0,Slovenia,0.0,0.0,1.0,0.0,0.0,3.0,4.0
15.0,China,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16.0,France,0.0,0.0,0.0,1.0,0.0,2.0,3.0
17.0,Latvia,0.0,0.0,0.0,1.0,0.0,1.0,2.0
18.0,Croatia,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19.0,USA,0.0,0.0,0.0,0.0,1.0,3.0,4.0
20.0,Slovak Republic,0.0,0.0,0.0,0.0,1.0,1.0,2.0
21.0,Netherlands,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21.0,Poland,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23.0,Philippines,0.0,0.0,0.0,0.0,0.0,4.0,4.0
24.0,Belgium,0.0,0.0,0.0,0.0,0.0,3.0,3.0
25.0,India,0.0,0.0,0.0,0.0,0.0,2.0,2.0
25.0,Italy,0.0,0.0,0.0,0.0,0.0,2.0,2.0
25.0,Sri Lanka,0.0,0.0,0.0,0.0,0.0,2.0,2.0
25.0,Taiwan,0.0,0.0,0.0,0.0,0.0,2.0,2.0
25.0,Turkey,0.0,0.0,0.0,0.0,0.0,2.0,2.0
30.0,Austria,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Bosnia & Herzegovina,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Chile,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Colombia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Costa Rica,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Ireland,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Macedonia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Malaysia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Mexico,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Namibia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,New Zealand,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Nigeria,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Norway,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Puerto Rico,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Serbia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30.0,Sweden,0.0,0.0,0.0,0.0,0.0,1.0,1.0
