Rider,Manufacturer,Laps,Time/Retired,Grid
Jorge Lorenzo,Aprilia,24.0,+40:25.904,1.0
Alex de Angelis,Aprilia,24.0,+3.857,7.0
Álvaro Bautista,Aprilia,24.0,+8.683,3.0
Andrea Dovizioso,Honda,24.0,+17.948,2.0
Hiroshi Aoyama,KTM,24.0,+30.800,4.0
Marco Simoncelli,Gilera,24.0,+31.135,8.0
Héctor Barberá,Aprilia,24.0,+33.323,5.0
Mika Kallio,KTM,24.0,+40.807,10.0
Roberto Locatelli,Gilera,24.0,+1:11.829,13.0
Yuki Takahashi,Honda,24.0,+1:18.958,15.0
Fabrizio Lai,Aprilia,24.0,+1:19.361,11.0
Taro Sekiguchi,Aprilia,24.0,+1:26.810,19.0
Shuhei Aoyama,Honda,24.0,+1:26.850,14.0
Ratthapark Wilairot,Honda,24.0,+1:28.717,17.0
Karel Abraham,Aprilia,24.0,+1:28.949,20.0
Dirk Heidolf,Aprilia,24.0,+1:30.407,22.0
Aleix Espargaró,Aprilia,24.0,+1:33.812,12.0
Efren Vazquez,Aprilia,24.0,+1:37.706,26.0
Alex Baldolini,Aprilia,24.0,+1:44.925,16.0
Jules Cluzel,Honda,24.0,+1:47.373,18.0
Eugene Laverty,Honda,23.0,+1 Lap,21.0
Imre Toth,Aprilia,23.0,+1 Lap,25.0
Ronald Beitler,Honda,23.0,+1 Lap,27.0
Randy Gevers,Aprilia,23.0,+1 Lap,28.0
Thomas Luthi,Aprilia,18.0,Retirement,6.0
Dan Linfoot,Aprilia,11.0,Accident,23.0
Hans Smees,Aprilia,10.0,Retirement,24.0
Julián Simón,Honda,8.0,Retirement,9.0
