Driver,Constructor,Laps,Time/Retired,Grid
Luigi Musso Juan Manuel Fangio,Ferrari,98.0,3:00:03.7,3.0
Jean Behra,Maserati,98.0,+24.4 secs,4.0
Mike Hawthorn,Maserati,98.0,+2 Laps,8.0
Chico Landi Gerino Gerini,Maserati,92.0,+6 Laps,11.0
Olivier Gendebien,Ferrari,91.0,+7 Laps,10.0
Alberto Uria Oscar González,Maserati,88.0,+10 Laps,13.0
Stirling Moss,Maserati,81.0,Engine,7.0
Peter Collins,Ferrari,58.0,Accident,9.0
Luigi Piotti,Maserati,57.0,Accident,12.0
Carlos Menditeguy,Maserati,42.0,Halfshaft,6.0
Eugenio Castellotti,Ferrari,40.0,Gearbox,2.0
José Froilán González,Maserati,24.0,Engine,5.0
Juan Manuel Fangio,Ferrari,22.0,Fuel Pump,1.0
