Pos,No,Driver,Constructor,Q1 order,Q1 time,Q1 pos,Q1+Q2 time
1.0,9.0,Kimi Räikkönen,McLaren - Mercedes,18.0,1:13.644,1.0,2.30.325
2.0,5.0,Fernando Alonso,Renault,17.0,1:14.125,2.0,2.30.406
3.0,7.0,Mark Webber,Williams - BMW,13.0,1:14.584,3.0,2.31.656
4.0,6.0,Giancarlo Fisichella,Renault,14.0,1:14.783,4.0,2.32.100
5.0,16.0,Jarno Trulli,Toyota,16.0,1:15.189,7.0,2.32.590
6.0,8.0,Nick Heidfeld,Williams - BMW,9.0,1:15.128,6.0,2.32.883
7.0,14.0,David Coulthard,Red Bull - Cosworth,11.0,1:15.329,8.0,2.33.867
8.0,1.0,Michael Schumacher,Ferrari,4.0,1:16.186,11.0,2.34.736
9.0,11.0,Jacques Villeneuve,Sauber - Petronas,5.0,1:15.921,9.0,2.34.936
10.0,2.0,Rubens Barrichello,Ferrari,10.0,1:16.142,10.0,2.34.983
11.0,12.0,Felipe Massa,Sauber - Petronas,8.0,1:16.218,12.0,2.35.120
12.0,15.0,Vitantonio Liuzzi,Red Bull - Cosworth,1.0,1:16.817,13.0,2.37.152
13.0,20.0,Patrick Friesacher,Minardi - Cosworth,2.0,1:18.574,14.0,2.40.810
14.0,21.0,Christijan Albers,Minardi - Cosworth,3.0,1:19.229,15.0,2.42.206
15.0,18.0,Tiago Monteiro,Jordan - Toyota,7.0,1:19.408,16.0,2.43.078
16.0,10.0,Juan Pablo Montoya #,McLaren - Mercedes,12.0,1:14.858,5.0,NO TIME
17.0,19.0,Narain Karthikeyan *,Jordan - Toyota,6.0,1:19.474,17.0,2.43.422
