Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,12.0,4.0,4.0,20.0
2,Romania,3.0,1.0,2.0,6.0
3,East Germany,2.0,1.0,1.0,4.0
4,Bulgaria,1.0,2.0,1.0,4.0
5,Japan,1.0,2.0,0.0,3.0
6,United States,1.0,0.0,1.0,2.0
7,Iran,0.0,2.0,2.0,4.0
8,Poland,0.0,2.0,1.0,3.0
8,Yugoslavia,0.0,2.0,1.0,3.0
10,Sweden,0.0,1.0,1.0,2.0
10,West Germany,0.0,1.0,1.0,2.0
12,Hungary,0.0,1.0,0.0,1.0
12,South Korea,0.0,1.0,0.0,1.0
14,Cuba,0.0,0.0,2.0,2.0
15,Greece,0.0,0.0,1.0,1.0
15,Mongolia,0.0,0.0,1.0,1.0
15,Turkey,0.0,0.0,1.0,1.0
Total,Total,20.0,20.0,20.0,60.0
