Rank,Peak Name,Elevation (ft),Range,Isolation
1.0,Mount Mitchell,6684.0,Black Mountains,1189.0
2.0,Mount Craig,6647.0,Black Mtns,0.91
3.0,Clingmans Dome,6643.0,Great Smoky Mountains,70.64
4.0,Mount Guyot,6621.0,Great Smoky Mtns,16.73
5.0,Balsam Cone,6611.0,Black Mtns,0.88
6.0,Cattail Peak,6600.0,Black Mtns,0.62
7.0,Mount LeConte,6593.0,Great Smoky Mtns,7.21
8.0,Mount Buckley,6580.0,Great Smoky Mtns,0.42
9.0,Mount Gibbes,6571.0,Black Mtns,2.35
10.0,Big Tom,6560.0,Black Mtns,0.19
11.0,Clingmans Peak,6557.0,Black Mtns,0.02
12.0,Potato Hill,6475.0,Black Mtns,0.29
13.0,Mount Love,6446.0,Great Smoky Mtns,0.41
14.0,Mount Chapman,6417.0,Great Smoky Mtns,1.48
15.0,Richland Balsam,6410.0,Great Balsam Mountains,27.13
16.0,Potato Knob,6400.0,Black Mtns,0.45
17.0,Old Black,6370.0,Great Smoky Mtns,0.7
18.0,Blackstock Knob,6359.0,Black Mtns,1.64
19.0,Celo Knob,6327.0,Black Mtns,3.52
20.0,Mount Hallback,6320.0,Black Mtns,1.11
21.0,Waterrock Knob,6292.0,Plott Balsams,10.66
22.0,Roan High Knob,6285.0,Unaka Mountains,18.81
23.0,Roan High Bluff,6267.0,Unaka Mountains,1.54
24.0,Browning Knob,6240.0,Plott Balsams,0.33
25.0,Luftee Knob,6234.0,Great Smoky Mtns,2.53
26.0,Gibbs Mountain,6224.0,Black Mtns,0.81
27.0,Mount Lyn Lowry,6220.0,Plott Balsams,1.22
28.0,Mount Kephart,6217.0,Great Smoky Mtns,3.09
29.0,Black Balsam Knob,6214.0,Great Balsam Mtns,7.08
30.0,Winter Star Mountain,6212.0,Black Mtns,1.13
31.0,Percys Peak,6200.0,Black Mtns,0.32
32.0,Grassy Ridge Bald,6189.0,Unaka Mountains,2.35
33.0,Mount Collins,6188.0,Great Smoky Mtns,1.8
34.0,Marks Knob,6169.0,Great Smoky Mtns,1.34
35.0,Big Cataloochee Mountain,6155.0,Great Smoky Mtns,2.61
36.0,Mount Hardison,6134.0,Great Smoky Mtns,0.6
37.0,Tricorner Knob,6120.0,Great Smoky Mtns,0.55
38.0,Mount Yonaguska,6120.0,Great Smoky Mtns,0.33
39.0,Mount Ambler,6120.0,Great Smoky Mtns,0.45
40.0,Mount Hardy,6110.0,Great Balsam Mtns,3.46
41.0,Craggy Dome,6105.0,Great Craggy Mountains,3.49
42.0,Plott Balsam,6088.0,Plott Balsams,1.69
43.0,Thermo Knob,6080.0,Great Smoky Mtns,0.62
44.0,Reinhart Knob,6080.0,Great Balsam Mtns,1.41
45.0,Sam Knob,6050.0,Great Balsam Mtns,1.15
46.0,Shining Rock,6040.0,Great Balsam Mtns,2.87
47.0,Grassy Cove Top,6040.0,Great Balsam Mtns,1.37
48.0,Tennent Mountain,6040.0,Great Balsam Mtns,0.71
49.0,Patton Knob,6040.0,Black Mtns,0.8
50.0,Chestnut Bald,6040.0,Great Balsam Mtns,1.67
51.0,Yellow Face,6032.0,Plott Balsams,1.16
52.0,Cold Mountain,6030.0,Great Balsam Mtns,2.86
53.0,Mount Sequoyah,6003.0,Great Smoky Mtns,1.28
