District,Incumbent,Party,Elected,Status,Opponent
1.0,Tim Bishop,Democrat,2002.0,Reelected,Tim Bishop (D) 62.2% Italo Zanzi (R) 37.8%
2.0,Steve Israel,Democrat,2000.0,Reelected,Steve Israel (D) 70.4%
3.0,Peter King,Republican,1992.0,Reelected,Peter King (R) 56.0% David Mejias (D) 44.0%
5.0,Gary Ackerman,Democrat,1983.0,Reelected,Gary Ackerman (D) unopposed
6.0,Gregory Meeks,Democrat,1998.0,Reelected,Gregory Meeks (D) unopposed
7.0,Joseph Crowley,Democrat,1998.0,Reelected,Joseph Crowley (D) 84.0% Kevin Brawley (R) 16.0%
9.0,Anthony Weiner,Democrat,1998.0,Reelected,Anthony Weiner (D) unopposed
13.0,Vito Fossella,Republican,1997.0,Reelected,Vito Fossella (R) 56.8% Steve Harrison (D) 43.2%
14.0,Carolyn Maloney,Democrat,1992.0,Reelected,Carolyn Maloney (D) 84.5% Danniel Maio (R) 15.5%
15.0,Charles Rangel,Democrat,1970.0,Reelected,Charles Rangel (D) 94.0% Edward Daniels (R) 6.0%
16.0,Jose Serrano,Democrat,1990.0,Reelected,Jose Serrano (D) 95.3% Ali Mohamed (R) 4.7%
17.0,Eliot Engel,Democrat,1988.0,Reelected,Eliot Engel (D) 76.4% Jim Faulkner (R) 23.6%
18.0,Nita Lowey,Democrat,1988.0,Reelected,Nita Lowey (D) 70.7% Richard A. Hoffman (R) 29.3%
19.0,Sue Kelly,Republican,1994.0,Defeated,John Hall (D) 51.2% Sue Kelly (R) 48.8%
21.0,Mike McNulty,Democrat,1988.0,Reelected,Mike McNulty (D) 78.2% Warren Redlich (R) 21.8%
22.0,Maurice Hinchey,Democrat,1992.0,Reelected,Maurice Hinchey (D) unopposed
23.0,John McHugh,Republican,1992.0,Reelected,John McHugh (R) 63.1% Robert Johnson (D) 36.9%
25.0,Jim Walsh,Republican,1988.0,Reelected,Jim Walsh (R) 50.8% Dan Maffei (D) 49.2%
26.0,Tom Reynolds,Republican,1998.0,Reelected,Tom Reynolds (R) 52.0% Jack Davis (D) 48.0%
27.0,Brian Higgins,Democrat,2004.0,Reelected,Brian Higgins (D) 79.3% Michael McHale (R) 20.7%
28.0,Louise Slaughter,Democrat,1986.0,Reelected,Louise Slaughter (D) 73.2% John Donnelly (R) 26.8%
