District,Representative,Party,Residence,First Elected,Term Limited
1.0,Linda Bolon,Dem,East Palestine,2006,2014.0
2.0,Kris Jordan,Rep,Dublin,2008,2016.0
3.0,Ron Amstutz,Rep,Wooster,2008,2016.0
4.0,Matt Huffman,Rep,Lima,2006,2014.0
5.0,Gerald Stebleton,Rep,Lancaster,2006,2014.0
6.0,Randy Gardner,Rep,Bowling Green,2008 (Appt.),2016.0
7.0,Kenny Yuko,Dem,Richmond Heights,2004,2012.0
8.0,Armond Budish,Dem,Beachwood,2006,2014.0
9.0,Barbara Boyd,Dem,Cleveland Heights,2006,2014.0
10.0,Robin Belcher,Dem,Cleveland,2009 (Appt.),2018.0
11.0,Sandra Williams,Dem,Cleveland,2006,2014.0
12.0,Michael DeBose,Dem,Cleveland,2002 (Appt.),2010.0
13.0,Michael J. Skindell,Dem,Lakewood,2002,2010.0
14.0,Michael Foley,Dem,Cleveland,2006 (Appt.),2014.0
15.0,Timothy J. DeGeeter,Dem,Parma,2003 (Appt.),2012.0
16.0,Nan Baker,Rep,Westlake,2008,2016.0
17.0,Josh Mandel,Rep,Lyndhurst,2006,2014.0
18.0,Matt Patten,Dem,Strongsville,2008,2016.0
19.0,Marian Harris,Dem,Columbus,2008,2016.0
20.0,Nancy Garland,Dem,New Albany,2008,2016.0
21.0,Kevin Bacon,Rep,Columbus,2006,2014.0
22.0,John Patrick Carney,Dem,Clintonville,2008,2016.0
23.0,Cheryl Grossman,Rep,Grove City,2008,2016.0
24.0,Ted Celeste,Dem,Upper Arlington,2006,2014.0
25.0,Dan Stewart,Dem,Columbus,2002,2010.0
26.0,Tracy Maxwell Heard,Dem,Columbus,2006,2014.0
27.0,W. Carlton Weddington,Dem,Columbus,2008,2016.0
28.0,Connie Pillich,Dem,Montgomery,2008,2016.0
29.0,Lou Blessing,Rep,Cincinnati,2004,2012.0
30.0,Robert Mecklenborg,Rep,Cincinnati,2007 (Appt.),2016.0
31.0,Denise Driehaus,Dem,Cincinnati,2008,2016.0
32.0,Dale Mallory,Dem,Cincinnati,2006,2014.0
33.0,Alicia Reece,Dem,Cincinnati,2010 (Appt.),2018.0
34.0,Peter Stautberg,Rep,Anderson Twp.,2008,2016.0
35.0,Ron Maag,Rep,Lebanon,2008,2016.0
36.0,Seth Morgan,Rep,Huber Heights,2008,2016.0
37.0,Peggy Lehner,Rep,Kettering,2008,2016.0
38.0,Terry Blair,Rep,Washington Twp.,2008,2016.0
39.0,Clayton Luckie,Dem,Dayton,2006 (Appt.),2014.0
40.0,Roland Winburn,Dem,Harrison Twp.,2008,2016.0
41.0,Brian Williams,Dem,Akron,2004,2012.0
42.0,Mike Moran,Dem,Hudson,2008,2016.0
43.0,Steve Dyer,Dem,Green,2006,2014.0
44.0,Vernon Sykes,Dem,Akron,2006,2014.0
45.0,John Otterman,Dem,Akron,2008 (Appt.),2016.0
46.0,Barbara Sears,Rep,Sylvania,2008 (Appt.),2016.0
47.0,Joe Walter,Dem,Toledo,2010 (Appt.),2018.0
48.0,Edna Brown,Dem,Toledo,2001 (Appt.),2010.0
49.0,Matt Szollosi,Dem,Toledo,2006,2014.0
50.0,Todd Snitchler,Rep,Uniontown,2008,2016.0
51.0,Scott Oelslager,Rep,Canton,2002,2010.0
52.0,Stephen Slesnick,Dem,Canton,2008 (Appt.),2016.0
53.0,Timothy Derickson,Rep,Hanover Twp,2008,2016.0
54.0,Courtney Combs,Rep,Hamilton,2004 (Appt.),2012.0
55.0,Bill Coley,Rep,West Chester Twp.,2004,2012.0
56.0,Joseph Koziura,Dem,Lorain,2001 (Appt.),2010.0
57.0,Matt Lundy,Dem,Elyria,2006,2014.0
58.0,Terry Boose,Rep,Norwalk,2008,2016.0
59.0,Ron Gerberry,Dem,Austintown,2007 (Appt.),2016.0
60.0,Bob Hagan,Dem,Youngstown,2006,2014.0
61.0,Mark Okey,Dem,Carrollton,2006,2014.0
62.0,Lorraine Fende,Dem,Willowick,2004,2012.0
63.0,Mark Schneider,Dem,Mentor,2008,2016.0
64.0,Tom Letson,Dem,Warren,2006,2014.0
65.0,Sandra Harwood,Dem,Niles,2002,2010.0
66.0,Joe Uecker,Rep,Loveland,2004,2012.0
67.0,Peter Beck,Rep,Mason,2009 (Appt.),2018.0
68.0,Kathleen Chandler,Dem,Kent,2002,2010.0
69.0,William G. Batchelder,Rep,Medina,2006,2014.0
70.0,Jarrod Martin,Rep,Beavercreek,2008,2016.0
71.0,Jay Hottinger,Rep,Newark,2006,2014.0
72.0,Ross McGregor,Rep,Springfield,2005 (Appt.),2014.0
73.0,Jay Goyal,Dem,Mansfield,2006,2014.0
74.0,Bruce Goodwin,Rep,Defiance,2006,2014.0
75.0,Lynn Wachtmann,Rep,Napoleon,2006,2014.0
76.0,Cliff Hite,Rep,Findlay,2006,2014.0
77.0,Jim Zehringer,Rep,Fort Recovery,2007 (Appt.),2016.0
78.0,John Adams,Rep,Sidney,2006,2014.0
79.0,Richard Adams,Rep,Troy,2008,2016.0
80.0,Dennis Murray,Dem,Sandusky,2008,2016.0
81.0,Jeff Wagner,Rep,Sycamore,2002,2010.0
82.0,Jeffrey McClain,Rep,Upper Sandusky,2008,2016.0
83.0,David Burke,Rep,Marysville,2008,2016.0
84.0,Bob Hackett,Rep,London,2008,2016.0
85.0,Raymond Pryor,Dem,Chillicothe,2008,2016.0
86.0,David T. Daniels,Rep,Greenfield,2002,2010.0
87.0,Clyde Evans,Rep,Rio Grande,2002,2010.0
88.0,Danny Bubp,Rep,West Union,2004,2012.0
89.0,Todd Book,Dem,McDermott,2002,2010.0
90.0,Margaret Ruhl,Rep,Mount Vernon,2008,2016.0
91.0,Dan Dodd,Dem,Hebron,2006,2014.0
92.0,Debbie Phillips,Dem,Athens,2008,2016.0
93.0,Larry Woodford,Dem,Marietta,2010 (Appt.),2020.0
94.0,Troy Balderson,Rep,Muskingum,2008,2016.0
95.0,John Domenick,Dem,Smithfield,2002,2010.0
96.0,Joshua O'Farrell,Dem,New Philadelphia,2010 (Appt.),2018.0
97.0,Dave Hall,Rep,Killbuck,2008,2016.0
98.0,Richard Hollington,Rep,Chagrin Falls,2010 (Appt.),2018.0
