County,Per capita income,Median household income,Median family income,Population,Number of households
McCone,"$32,205","$42,998","$52,636",1734.0,774.0
Gallatin,"$27,423","$50,136","$65,029",89513.0,36550.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Stillwater,"$27,168","$57,227","$65,438",9117.0,3796.0
Richland,"$26,888","$52,516","$60,236",9746.0,4167.0
Fallon,"$26,819","$52,529","$64,500",2890.0,1233.0
Sheridan,"$26,537","$39,578","$55,313",3384.0,1587.0
Jefferson,"$26,437","$56,695","$67,195",11406.0,4512.0
Yellowstone,"$26,152","$48,641","$62,380",147972.0,60672.0
Lewis and Clark,"$25,894","$50,238","$65,573",63395.0,26694.0
Carbon,"$24,983","$49,010","$59,823",10078.0,4571.0
Daniels,"$24,737","$38,125","$49,479",1751.0,798.0
Flathead,"$24,721","$44,998","$53,940",90928.0,37504.0
Park,"$24,717","$38,830","$50,252",15636.0,7310.0
Dawson,"$24,602","$50,752","$63,982",8966.0,3749.0
Missoula,"$24,343","$42,887","$58,302",109299.0,45926.0
Valley,"$24,305","$42,050","$54,096",7369.0,3198.0
Phillips,"$24,227","$36,453","$55,362",4253.0,1819.0
Judith Basin,"$24,029","$41,473","$54,479",2072.0,924.0
Ravalli,"$23,908","$43,000","$53,004",40212.0,16933.0
Montana,"$23,836","$43,872","$55,725",989415.0,409607.0
Madison,"$23,265","$48,167","$56,406",7691.0,3560.0
Granite,"$23,222","$36,052","$47,685",3079.0,1417.0
Cascade,"$22,963","$42,389","$53,540",81327.0,33809.0
Sweet Grass,"$22,785","$43,723","$56,552",3651.0,1590.0
Wibaux,"$22,579","$40,417","$51,354",1017.0,457.0
Garfield,"$22,424","$42,955","$54,375",1206.0,532.0
Fergus,"$22,295","$37,607","$48,623",11586.0,5099.0
Deer Lodge,"$21,921","$35,310","$51,076",9298.0,4018.0
Custer,"$21,676","$38,913","$49,011",11699.0,5031.0
Powder River,"$21,543","$37,685","$50,156",1743.0,755.0
Hill,"$21,420","$43,606","$55,963",16096.0,6275.0
Silver Bow,"$21,357","$37,986","$52,288",34200.0,14932.0
Prairie,"$21,296","$34,896","$43,500",1179.0,551.0
Beaverhead,"$21,110","$38,264","$53,036",9246.0,4014.0
Petroleum,"$21,008","$36,875","$39,107",494.0,225.0
Treasure,"$20,882","$37,969","$51,458",718.0,335.0
Musselshell,"$20,875","$37,033","$47,860",4538.0,2046.0
Carter,"$20,681","$35,703","$47,955",1160.0,532.0
Teton,"$20,509","$39,516","$49,102",6073.0,2450.0
Toole,"$20,464","$42,949","$54,722",5324.0,2015.0
Chouteau,"$20,202","$41,064","$50,201",5813.0,2294.0
Lake,"$20,164","$37,274","$47,437",28746.0,11432.0
Rosebud,"$19,844","$44,776","$56,282",9233.0,3395.0
Lincoln,"$19,626","$30,823","$39,600",19687.0,8843.0
Broadwater,"$19,606","$44,667","$46,949",5612.0,2347.0
Golden Valley,"$19,319","$35,726","$48,750",884.0,363.0
Mineral,"$19,209","$37,256","$44,271",4223.0,1911.0
Liberty,"$19,097","$40,212","$44,957",2339.0,822.0
Pondera,"$18,989","$36,419","$47,656",6153.0,2285.0
Wheatland,"$18,474","$30,321","$41,161",2168.0,887.0
Sanders,"$18,472","$30,622","$37,514",11413.0,5121.0
Powell,"$17,849","$39,851","$45,339",7027.0,2466.0
Roosevelt,"$17,821","$37,451","$50,146",10425.0,3553.0
Meagher,"$17,318","$31,577","$40,057",1891.0,806.0
Glacier,"$17,053","$38,075","$44,397",13399.0,4361.0
Blaine,"$16,813","$37,034","$40,890",6491.0,2357.0
Big Horn,"$15,066","$36,550","$41,985",12865.0,4004.0
